Tactic,Technique,Procedure
0. Acquiring assets,0.1 Acquiring IP addresses,0.1.1 Acquiring proxy IP addresses
0. Acquiring assets,0.1 Acquiring IP addresses,0.1.2 Acquiring VPN
0. Acquiring assets,0.2 Acquiring email addresses,0.2.1 Acquiring email addresses on owned domains
0. Acquiring assets,0.2 Acquiring email addresses,0.2.2 Acquiring freely available email addresses
0. Acquiring assets,0.2 Acquiring email addresses,0.2.3 Acquiring encrypted email
0. Acquiring assets,0.3 Acquiring phone ,0.3.1 Acquiring mobile phone
0. Acquiring assets,0.3 Acquiring phone ,0.3.2 Acquiring VOIP phone
0. Acquiring assets,0.4 Acquiring business assets,0.4.1 Registering company
0. Acquiring assets,0.4 Acquiring business assets,0.4.2 Acquiring business premises
0. Acquiring assets,0.5 Acquiring financial instruments,0.5.1 Acquiring Paypal account
0. Acquiring assets,0.5 Acquiring financial instruments,0.5.2 Acquiring cryptocurrency wallet
0. Acquiring assets,0.6 Acquiring domains,"0.6.1 Acquiring domains to host, deploy, and
support malware campaigns"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations
0. Acquiring assets,0.7 Acquiring malware,0.7.1 Developing custom malware
0. Acquiring assets,0.7 Acquiring malware,0.7.2 Acquiring commercially available malware
0. Acquiring assets,0.8 Acquiring apps,0.8.1 Creating apps
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.2 Acquiring Instagram accounts
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.3 Acquiring Threads accounts
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.8 Acquiring accounts on online forums
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.9 Acquiring and repurposing accounts
,,
1. Disguising assets,1.1 Adopting visual disguise,1.1.1 Copying profile pictures 
1. Disguising assets,1.1 Adopting visual disguise,1.1.2 Using profile pictures like created using generative adversarial networks (GAN)
1. Disguising assets,1.1 Adopting visual disguise,1.1.3 Adopting visual brand
1. Disguising assets,1.1 Adopting visual disguise,1.1.4 Using animals as profile picture
1. Disguising assets,1.1 Adopting visual disguise,1.1.5 Using scenery as profile picture
1. Disguising assets,1.1 Adopting visual disguise,1.1.6 Using cartoon as profile picture
1. Disguising assets,1.2 Posing as non-existent person,1.2.1 Posing as person seeking romance
1. Disguising assets,1.2 Posing as non-existent person,1.2.2 Posing as fictional journalist
1. Disguising assets,1.2 Posing as non-existent person,1.2.3 Posing as fictional activist
1. Disguising assets,1.2 Posing as non-existent person,1.2.4 Posing as fictional hacktivist
1. Disguising assets,1.2 Posing as non-existent person,1.2.5 Posing as fictional military personnel
1. Disguising assets,1.2 Posing as non-existent person,1.2.6 Posing as fictional recruiter / potential employer
1. Disguising assets,1.2 Posing as non-existent person,1.2.7 Creating fictitious byline
1. Disguising assets,1.2 Posing as non-existent person,1.2.8 Posing as fictional person in target region
1. Disguising assets,1.3 Posing as non-existent institution,1.3.1 Creating fictitious news outlet 
1. Disguising assets,1.3 Posing as non-existent institution,1.3.2 Creating fictitious NGO
1. Disguising assets,1.4 Impersonating real person,1.4.1 Impersonating researcher or think tanker
1. Disguising assets,1.4 Impersonating real person,1.4.2 Using duplicate accounts 
1. Disguising assets,1.5 Impersonating real institution,1.5.1 Impersonating news website 
1. Disguising assets,1.5 Impersonating real institution,1.5.2 Impersonating government institution
1. Disguising assets,1.5 Impersonating real institution,1.5.3 Impersonating think tank
1. Disguising assets,1.5 Impersonating real institution,1.5.4 Impersonating commercial company
1. Disguising assets,1.6 Disguising malware sites,1.6.1 Disguising malware as romantic site
1. Disguising assets,1.6 Disguising malware sites,1.6.2 Disguising malware sites as CV / resumé advice sites / apps
1. Disguising assets,1.6 Disguising malware sites,1.6.3 Disguising malware sites as cloud storage providers or file sharing services
1. Disguising assets,1.6 Disguising malware sites,1.6.4 Disguising malware site as entertainment site
1. Disguising assets,1.6 Disguising malware sites,1.6.5 Disguising malware site as chat app
1. Disguising assets,1.7 Disguising malicious apps,1.7.1 Disguising apps as chat apps
1. Disguising assets,1.7 Disguising malicious apps,1.7.2 Disguising apps as VPN providers
1. Disguising assets,1.7 Disguising malicious apps,1.7.3 Disguising app as document reader
1. Disguising assets,1.8 Backstopping,1.8.1 Backstopping fictitious individual across multiple websites
1. Disguising assets,1.8 Backstopping,1.8.2 Backstopping fictitious brand or organization across multiple websites
,,
2. Gathering information,2.1. Soliciting information,2.1.1 Publicly soliciting information
2. Gathering information,2.2 Monitoring specific events,"2.2.1 Monitoring breaking news
"
,,
3. Coordinating and planning,3.1 Coordinating shift patterns,3.1.1 Working to a regular shift pattern
3. Coordinating and planning,3.2 Circulating content / posting instructions on publicly viewable surface,3.2.1 Circulating instructions on public Telegram channel
3. Coordinating and planning,3.2 Circulating content / posting instructions on publicly viewable surface,3.2.2 Circulating instructions on X / Twitter
3. Coordinating and planning,3.3 Centralizing infrastructure,3.3.1 Centralizing internet access
3. Coordinating and planning,3.3 Centralizing infrastructure,3.3.2 Centralizing operations in physical location
3. Coordinating and planning,3.4 Running command and control infrastructure,3.4.1 Using domains and subdomains for command and control (C2)
3. Coordinating and planning,3.5 Automating activity,3.5.1 Automating social media posts
3. Coordinating and planning,3.5 Automating activity,3.5.2 Automating website posting
3. Coordinating and planning,3.6 Coordinating via closed system,3.6.1 Cordinating via email
3. Coordinating and planning,3.6 Coordinating via closed system,3.6.2 Cordinating via DM
3. Coordinating and planning,3.6 Coordinating via closed system,3.6.3 Coordinating on Discord
3. Coordinating and planning,3.6 Coordinating via closed system,3.6.4 Coordinating on WhatsApp
3. Coordinating and planning,3.6 Coordinating via closed system,3.6.5 Coordinating on Signal
3. Coordinating and planning,3.6 Coordinating via closed system,3.6.6 Coordinating in closed Telegram channel
,,
4. Testing defenses,4.1 Using publicly available testing services,4.1.1 Testing malware against public repositories
,,
5. Evading detection,5.1 Privacy protection,5.1.1 Privacy protecting website registrations
5. Evading detection,5.2 Camouflaging content,5.2.1 Using link shortening services
5. Evading detection,5.2 Camouflaging content,5.2.2 Editing copied content
5. Evading detection,5.2 Camouflaging content,5.2.3 Using coded language
5. Evading detection,5.2 Camouflaging content,5.2.4 Posting spam as camouflage
5. Evading detection,5.2 Camouflaging content,"5.2.5 Making ""personal"" comments as camouflage"
5. Evading detection,5.2 Camouflaging content,5.2.6 Disguising links
5. Evading detection,5.3 Obfuscating geographical location,5.3.1 Conducting activity via target areas
5. Evading detection,5.4 Copying authentic content,5.4.1 Copying authentic news articles
5. Evading detection,5.4 Copying authentic content,5.4.2 Copying authentic social media posts
5. Evading detection,5.5 Obfuscating infrastructure,5.5.1 Using proxy IP in target country
5. Evading detection,5.5 Obfuscating infrastructure,5.5.2 Geoblocking websites
5. Evading detection,5.5 Obfuscating infrastructure,5.5.3 Using third-party hosting providers
5. Evading detection,5.5 Obfuscating infrastructure,5.5.4 Using compromised accounts to manage assets
5. Evading detection,5.6 Faking social interactions,5.6.1 Faking conversation
5. Evading detection,5.6 Faking social interactions,5.6.2 Creating fake family 
,,
6. Indiscriminate engagement,6.1 Posting on websites ,6.1.1 Posting original content on websites 
6. Indiscriminate engagement,6.1 Posting on websites ,6.1.2 Posting copied content on websites
6. Indiscriminate engagement,6.1 Posting on websites ,6.1.3 Posting original content on blogs
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.1 Amplifying with likely fake accounts on Facebook
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.2 Amplifying with likely fake accounts on Instagram
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.3 Amplifying with likely fake accounts on Threads
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.4 Amplifying with likely fake accounts on X/Twitter
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.5 Amplifying with likely fake accounts on YouTube
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.6 Amplifying with likely fake accounts on TikTok
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.7 Amplifying with likely fake accounts on Telegram
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.8 Amplifying with likely fake accounts on online forums
6. Indiscriminate engagement,6.3 Spraying content,6.3.1 Posting common or generic hashtags
6. Indiscriminate engagement,6.3 Spraying content,6.3.2 Replying to social media comments with unrelated content
6. Indiscriminate engagement,6.3 Spraying content,6.3.3 Posting in specialized forums with unrelated content
,,
7. Targeted engagement,7.1 Running ads,7.1.1 Advertising to promote content
7. Targeted engagement,7.1 Running ads,7.1.2 Advertising to promote goods and services
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.1 Friending
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.2 Acquiring Page followers
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.3 Acquiring Group members
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.4 Acquiring Instagram followers
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.5 Acquiring Twitter followers
7. Targeted engagement,7.3 Engaging with specific audience,7.3.1 Using audience-specific hashtags 
7. Targeted engagement,7.3 Engaging with specific audience,7.3.2 Posting into specifically themed Groups
7. Targeted engagement,7.3 Engaging with specific audience,7.3.3 Commenting on specific posts
7. Targeted engagement,7.4 Co-opting real people / organizations,7.4.1 Hiring freelance content creators 
7. Targeted engagement,7.4 Co-opting real people / organizations,7.4.2 Hiring paid protesters
7. Targeted engagement,7.4 Co-opting real people / organizations,7.4.3 Partnering with real organizations
7. Targeted engagement,7.4 Co-opting real people / organizations,7.4.4 Employing local advertisers
7. Targeted engagement,7.5 Directing online traffic,7.5.1 Directing audience to other social media
7. Targeted engagement,7.5 Directing online traffic,7.5.2 Directing audience to website
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.1 Posting negative content about named individuals or institutions
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.2 Posting positive content about named individuals institutions
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.3 Mass harassment
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.4 Offering or posting allegedly hacked material about individuals or institutions
7. Targeted engagement,7.7 Making payments,7.7.1 Paying by PayPal 
7. Targeted engagement,7.7 Making payments,7.7.2 Paying with cryptocurrency
7. Targeted engagement,7.8 Direct outreach,7.8.1 Tagging social media users
7. Targeted engagement,7.8 Direct outreach,7.8.2 Replying to social media users
7. Targeted engagement,7.8 Direct outreach,7.8.3 Contacting news organizations 
7. Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links
7. Targeted engagement,7.9 Distributing malware,7.9.2 Uploading malicious apps to online stores
,,
8. Compromising assets,8.1 Social engineering,8.1.1 Socially engineering targets to deliver malware
8. Compromising assets,8.1 Social engineering,8.1.2 Socially engineering targets to hand over credentials
8. Compromising assets,8.1 Social engineering,8.1.3 Socially engineering platform employees
8. Compromising assets,8.1 Social engineering,8.1.4 Using non-malicious apps
8. Compromising assets,8.2 Compromising websites,8.2.1 Defacing websites 
8. Compromising assets,8.2 Compromising websites,8.2.2 Compromising website subscriber lists
8. Compromising assets,8.3 Compromising data,8.3.1 Extracting data 
,,
9. Enabling longevity,9.1 Changing personas,9.1.1 Creating new persona 
9. Enabling longevity,9.1 Changing personas,9.1.2 Deleting persona
9. Enabling longevity,9.2 Changing platforms,9.2.1 Moving fake personas / brands to new platforms
9. Enabling longevity,9.2 Changing platforms,9.2.2 Moving community to new platforms
9. Enabling longevity,9.2 Changing platforms,9.2.3 Dispersing content across many platforms
9. Enabling longevity,9.3 Persisting with personas,9.3.1 Acquiring new account in old name
