indicator_type,indicator_value,comment,ds
domain_name,2y4nothing.xyz,Cytrox Domain,2021-12-16
domain_name,5m5.io,Cytrox Domain,2021-12-16
domain_name,addons.news,Cytrox Domain,2021-12-16
domain_name,adibjan.net,Cytrox Domain,2021-12-16
domain_name,adservices.gr.com,Cytrox Domain,2021-12-16
domain_name,adultpcz.xyz,Cytrox Domain,2021-12-16
domain_name,advertsservices.com,Cytrox Domain,2021-12-16
domain_name,advfb.xyz,Cytrox Domain,2021-12-16
domain_name,affise.app,Cytrox Domain,2021-12-16
domain_name,almasryelyuom.com,Cytrox Domain,2021-12-16
domain_name,alpineai.uk,Cytrox Domain,2021-12-16
domain_name,alraeeenews.com,Cytrox Domain,2021-12-16
domain_name,alraeesnews.net,Cytrox Domain,2021-12-16
domain_name,altsantiri.news,Cytrox Domain,2021-12-16
domain_name,amazing.lab,Cytrox Domain,2021-12-16
domain_name,ancienthistory.xyz,Cytrox Domain,2021-12-16
domain_name,android-apps.tech,Cytrox Domain,2021-12-16
domain_name,api-apple-buy.com,Cytrox Domain,2021-12-16
domain_name,api-telecommunication.com,Cytrox Domain,2021-12-16
domain_name,applepps.com,Cytrox Domain,2021-12-16
domain_name,apps-ios.net,Cytrox Domain,2021-12-16
domain_name,aramexegypt.com,Cytrox Domain,2021-12-16
domain_name,atheere.com,Cytrox Domain,2021-12-16
domain_name,audit-pvv.com,Cytrox Domain,2021-12-16
domain_name,bank-alahly.com,Cytrox Domain,2021-12-16
domain_name,bbcsworld.com,Cytrox Domain,2021-12-16
domain_name,bitlinkin.xyz,Cytrox Domain,2021-12-16
domain_name,bi.tly.gr.com,Cytrox Domain,2021-12-16
domain_name,bi.tly.link,Cytrox Domain,2021-12-16
domain_name,bit-li.com,Cytrox Domain,2021-12-16
domain_name,bit-li.ws,Cytrox Domain,2021-12-16
domain_name,bit-ly.link,Cytrox Domain,2021-12-16
domain_name,bit-ly.org,Cytrox Domain,2021-12-16
domain_name,bitlly.live,Cytrox Domain,2021-12-16
domain_name,bitlyrs.com,Cytrox Domain,2021-12-16
domain_name,bitt.fi,Cytrox Domain,2021-12-16
domain_name,bity.ws,Cytrox Domain,2021-12-16
domain_name,bityl.me,Cytrox Domain,2021-12-16
domain_name,blacktrail.xyz,Cytrox Domain,2021-12-16
domain_name,bmw.gr.com,Cytrox Domain,2021-12-16
domain_name,bookjob.club,Cytrox Domain,2021-12-16
domain_name,browsercheck.services,Cytrox Domain,2021-12-16
domain_name,bumabara.bid,Cytrox Domain,2021-12-16
domain_name,burgerprince.us,Cytrox Domain,2021-12-16
domain_name,businesnews.net,Cytrox Domain,2021-12-16
domain_name,canyouc.xyz,Cytrox Domain,2021-12-16
domain_name,carrefourmisr.com,Cytrox Domain,2021-12-16
domain_name,cbbc01.xyz,Cytrox Domain,2021-12-16
domain_name,celebrnewz.xyz,Cytrox Domain,2021-12-16
domain_name,cellconn.net,Cytrox Domain,2021-12-16
domain_name,charmander.xyz,Cytrox Domain,2021-12-16
domain_name,chatwithme.store,Cytrox Domain,2021-12-16
domain_name,citroen.gr.com,Cytrox Domain,2021-12-16
domain_name,ckforward.one,Cytrox Domain,2021-12-16
domain_name,clockupdate.com,Cytrox Domain,2021-12-16
domain_name,cloudstatistics.net,Cytrox Domain,2021-12-16
domain_name,cloudtimesync.com,Cytrox Domain,2021-12-16
domain_name,cnn.gr.com,Cytrox Domain,2021-12-16
domain_name,connectivitycheck.live,Cytrox Domain,2021-12-16
domain_name,connectivitycheck.online,Cytrox Domain,2021-12-16
domain_name,connectivitychecker.com,Cytrox Domain,2021-12-16
domain_name,covid19masks.shop,Cytrox Domain,2021-12-16
domain_name,crashonline.site,Cytrox Domain,2021-12-16
domain_name,cut.red,Cytrox Domain,2021-12-16
domain_name,cyber.country,Cytrox Domain,2021-12-16
domain_name,danas.bid,Cytrox Domain,2021-12-16
domain_name,distedc.com,Cytrox Domain,2021-12-16
domain_name,download4you.xyz,Cytrox Domain,2021-12-16
domain_name,dragonair.xyz,Cytrox Domain,2021-12-16
domain_name,eagerfox.xyz,Cytrox Domain,2021-12-16
domain_name,ebill.cosmote.center,Cytrox Domain,2021-12-16
domain_name,efsyn.online,Cytrox Domain,2021-12-16
domain_name,egyqaz.com,Cytrox Domain,2021-12-16
domain_name,engine.ninja,Cytrox Domain,2021-12-16
domain_name,enigmase.xyz,Cytrox Domain,2021-12-16
domain_name,enikos.news,Cytrox Domain,2021-12-16
domain_name,ereportaz.news,Cytrox Domain,2021-12-16
domain_name,espressonews.gr.com,Cytrox Domain,2021-12-16
domain_name,etisalategypt.tech,Cytrox Domain,2021-12-16
domain_name,etisalatgreen.com,Cytrox Domain,2021-12-16
domain_name,ewish.cards,Cytrox Domain,2021-12-16
domain_name,fastdownload.me,Cytrox Domain,2021-12-16
domain_name,fastuploads.xyz,Cytrox Domain,2021-12-16
domain_name,fbc8213450838f7ae251d4,Cytrox Domain,2021-12-16
domain_name,519c195138.xyz,Cytrox Domain,2021-12-16
domain_name,ferrari.gr.com,Cytrox Domain,2021-12-16
domain_name,ffoxnewz.com,Cytrox Domain,2021-12-16
domain_name,fimes.gr.com,Cytrox Domain,2021-12-16
domain_name,fireup.xyz,Cytrox Domain,2021-12-16
domain_name,fisherman.engine.ninja,Cytrox Domain,2021-12-16
domain_name,flexipagez.com,Cytrox Domain,2021-12-16
domain_name,forwardeshoptt.com,Cytrox Domain,2021-12-16
domain_name,getsignalapps.com,Cytrox Domain,2021-12-16
domain_name,getsignalapps.live,Cytrox Domain,2021-12-16
domain_name,getupdatesnow.xyz,Cytrox Domain,2021-12-16
domain_name,goldenscent.net,Cytrox Domain,2021-12-16
domain_name,goldenscint.com,Cytrox Domain,2021-12-16
domain_name,goldescent.com,Cytrox Domain,2021-12-16
domain_name,gosokm.com,Cytrox Domain,2021-12-16
domain_name,guardian-tt.me,Cytrox Domain,2021-12-16
domain_name,guardnews.live,Cytrox Domain,2021-12-16
domain_name,heaven.army,Cytrox Domain,2021-12-16
domain_name,heiiasjournai.com,Cytrox Domain,2021-12-16
domain_name,hellasjournal.company,Cytrox Domain,2021-12-16
domain_name,hellasjournal.website,Cytrox Domain,2021-12-16
domain_name,hellottec.art,Cytrox Domain,2021-12-16
domain_name,hempower.shop,Cytrox Domain,2021-12-16
domain_name,hopnope.xyz,Cytrox Domain,2021-12-16
domain_name,icloudeu.com,Cytrox Domain,2021-12-16
domain_name,icloudflair.com,Cytrox Domain,2021-12-16
domain_name,iibt.xyz,Cytrox Domain,2021-12-16
domain_name,ikea-egypt.net,Cytrox Domain,2021-12-16
domain_name,ilnk.xyz,Cytrox Domain,2021-12-16
domain_name,in-politics.com,Cytrox Domain,2021-12-16
domain_name,infosms-a.site,Cytrox Domain,2021-12-16
domain_name,inservices.digital,Cytrox Domain,2021-12-16
domain_name,insider.gr.com,Cytrox Domain,2021-12-16
domain_name,instagam.click,Cytrox Domain,2021-12-16
domain_name,instagam.in,Cytrox Domain,2021-12-16
domain_name,instagam.photos,Cytrox Domain,2021-12-16
domain_name,instegram.co,Cytrox Domain,2021-12-16
domain_name,invoker.icu,Cytrox Domain,2021-12-16
domain_name,ios-apps.store,Cytrox Domain,2021-12-16
domain_name,iosmnbg.com,Cytrox Domain,2021-12-16
domain_name,itcgr.live,Cytrox Domain,2021-12-16
domain_name,itly.link,Cytrox Domain,2021-12-16
domain_name,itter.me,Cytrox Domain,2021-12-16
domain_name,jquery-updater.xyz,Cytrox Domain,2021-12-16
domain_name,kathimerini.news,Cytrox Domain,2021-12-16
domain_name,kinder.engine.ninja,Cytrox Domain,2021-12-16
domain_name,koenigseggg.com,Cytrox Domain,2021-12-16
domain_name,kohaicorp.com,Cytrox Domain,2021-12-16
domain_name,koora-egypt.com,Cytrox Domain,2021-12-16
domain_name,kormoran.bid,Cytrox Domain,2021-12-16
domain_name,kranos.gr.com,Cytrox Domain,2021-12-16
domain_name,lamborghini-s.shop,Cytrox Domain,2021-12-16
domain_name,landingpg.xyz,Cytrox Domain,2021-12-16
domain_name,landingpge.xyz,Cytrox Domain,2021-12-16
domain_name,leanwithme.xyz,Cytrox Domain,2021-12-16
domain_name,lexpress.me,Cytrox Domain,2021-12-16
domain_name,lifestyleshops.net,Cytrox Domain,2021-12-16
domain_name,limk.one,Cytrox Domain,2021-12-16
domain_name,linkit.digital,Cytrox Domain,2021-12-16
domain_name,linktothisa.xyz,Cytrox Domain,2021-12-16
domain_name,link-m.xyz,Cytrox Domain,2021-12-16
domain_name,link-protection.com,Cytrox Domain,2021-12-16
domain_name,liponals.store,Cytrox Domain,2021-12-16
domain_name,livingwithbadkidny.xyz,Cytrox Domain,2021-12-16
domain_name,llinkedin.net,Cytrox Domain,2021-12-16
domain_name,lnkedin.org,Cytrox Domain,2021-12-16
domain_name,localegem.net,Cytrox Domain,2021-12-16
domain_name,lylink.online,Cytrox Domain,2021-12-16
domain_name,makeitshort.xyz,Cytrox Domain,2021-12-16
domain_name,mifcbook.link,Cytrox Domain,2021-12-16
domain_name,md-news-direct.com,Cytrox Domain,2021-12-16
domain_name,miniiosapps.xyz,Cytrox Domain,2021-12-16
domain_name,mitube1.link,Cytrox Domain,2021-12-16
domain_name,mlinks.ws,Cytrox Domain,2021-12-16
domain_name,mobnetlink1.com,Cytrox Domain,2021-12-16
domain_name,mobnetlink2.com,Cytrox Domain,2021-12-16
domain_name,mobnetlink3.com,Cytrox Domain,2021-12-16
domain_name,mozillaupdate.xyz,Cytrox Domain,2021-12-16
domain_name,msas.ws,Cytrox Domain,2021-12-16
domain_name,mycoffeeshop.shop,Cytrox Domain,2021-12-16
domain_name,myfcbk.net,Cytrox Domain,2021-12-16
domain_name,mytrips.quest,Cytrox Domain,2021-12-16
domain_name,myutbe.net,Cytrox Domain,2021-12-16
domain_name,mywebsitevpstest.xyz,Cytrox Domain,2021-12-16
domain_name,nabd.site,Cytrox Domain,2021-12-16
domain_name,nabde.app,Cytrox Domain,2021-12-16
domain_name,nassosblog.gr.com,Cytrox Domain,2021-12-16
domain_name,nemshi-news.xyz,Cytrox Domain,2021-12-16
domain_name,nemshi.net,Cytrox Domain,2021-12-16
domain_name,networkenterprise.net,Cytrox Domain,2021-12-16
domain_name,newsbeast.gr.com,Cytrox Domain,2021-12-16
domain_name,newslive2.xyz,Cytrox Domain,2021-12-16
domain_name,newzeto.xyz,Cytrox Domain,2021-12-16
domain_name,newzgroup.xyz,Cytrox Domain,2021-12-16
domain_name,niceonase.com,Cytrox Domain,2021-12-16
domain_name,niceonesa.net,Cytrox Domain,2021-12-16
domain_name,nikjol.xyz,Cytrox Domain,2021-12-16
domain_name,nissan.gr.com,Cytrox Domain,2021-12-16
domain_name,novosti.bid,Cytrox Domain,2021-12-16
domain_name,oilgy.xyz,Cytrox Domain,2021-12-16
domain_name,olexegy.com,Cytrox Domain,2021-12-16
domain_name,olxeg.com,Cytrox Domain,2021-12-16
domain_name,omanreal.net,Cytrox Domain,2021-12-16
domain_name,omeega.xyz,Cytrox Domain,2021-12-16
domain_name,onlineservices.gr.com,Cytrox Domain,2021-12-16
domain_name,orangegypt.co,Cytrox Domain,2021-12-16
domain_name,orchomenos.news,Cytrox Domain,2021-12-16
domain_name,otaupdatesios.com,Cytrox Domain,2021-12-16
domain_name,paok-24.com,Cytrox Domain,2021-12-16
domain_name,pastepast.net,Cytrox Domain,2021-12-16
domain_name,pdfviewer.app,Cytrox Domain,2021-12-16
domain_name,playestore.net,Cytrox Domain,2021-12-16
domain_name,pocopoc.xyz,Cytrox Domain,2021-12-16
domain_name,politika.bid,Cytrox Domain,2021-12-16
domain_name,politique-koaci.info,Cytrox Domain,2021-12-16
domain_name,prmopromo.com,Cytrox Domain,2021-12-16
domain_name,pronews.gr.com,Cytrox Domain,2021-12-16
domain_name,protothema.live,Cytrox Domain,2021-12-16
domain_name,proupload.xyz,Cytrox Domain,2021-12-16
domain_name,ps1link.xyz,Cytrox Domain,2021-12-16
domain_name,ps2link.xyz,Cytrox Domain,2021-12-16
domain_name,quickupdates.xyz,Cytrox Domain,2021-12-16
domain_name,qwert.xyz,Cytrox Domain,2021-12-16
domain_name,qwxzyl.com,Cytrox Domain,2021-12-16
domain_name,redeitt.com,Cytrox Domain,2021-12-16
domain_name,safelyredirecting.com,Cytrox Domain,2021-12-16
domain_name,safelyredirecting.digital,Cytrox Domain,2021-12-16
domain_name,sepenet.gr.com,Cytrox Domain,2021-12-16
domain_name,sephoragroup.com,Cytrox Domain,2021-12-16
domain_name,servers-mobile.info,Cytrox Domain,2021-12-16
domain_name,serviceupdaterequest.com,Cytrox Domain,2021-12-16
domain_name,sextape225.me,Cytrox Domain,2021-12-16
domain_name,shorten.fi,Cytrox Domain,2021-12-16
domain_name,shortenurls.me,Cytrox Domain,2021-12-16
domain_name,shortmee.one,Cytrox Domain,2021-12-16
domain_name,shortwidgets.com,Cytrox Domain,2021-12-16
domain_name,shortxyz.com,Cytrox Domain,2021-12-16
domain_name,simetricode.uk,Cytrox Domain,2021-12-16
domain_name,sinai-new.com,Cytrox Domain,2021-12-16
domain_name,sitepref.xyz,Cytrox Domain,2021-12-16
domain_name,smsuns.com,Cytrox Domain,2021-12-16
domain_name,snapfire.xyz,Cytrox Domain,2021-12-16
domain_name,sniper.pet,Cytrox Domain,2021-12-16
domain_name,solargoup.xyz,Cytrox Domain,2021-12-16
domain_name,solargroup.xyz,Cytrox Domain,2021-12-16
domain_name,speedy.sbs,Cytrox Domain,2021-12-16
domain_name,speedygonzales.xyz,Cytrox Domain,2021-12-16
domain_name,speedymax.shop,Cytrox Domain,2021-12-16
domain_name,sportsnewz.site,Cytrox Domain,2021-12-16
domain_name,sports-mdg.xyz,Cytrox Domain,2021-12-16
domain_name,static-graph.com,Cytrox Domain,2021-12-16
domain_name,stonisi.news,Cytrox Domain,2021-12-16
domain_name,supportset.net,Cytrox Domain,2021-12-16
domain_name,suzuki.gr.com,Cytrox Domain,2021-12-16
domain_name,svetovid.bid,Cytrox Domain,2021-12-16
domain_name,symoty.com,Cytrox Domain,2021-12-16
domain_name,syncservices.one,Cytrox Domain,2021-12-16
domain_name,synctimestamp.com,Cytrox Domain,2021-12-16
domain_name,syncupdate.site,Cytrox Domain,2021-12-16
domain_name,telecomegy-ads.com,Cytrox Domain,2021-12-16
domain_name,telenorconn.com,Cytrox Domain,2021-12-16
domain_name,tesla-s.shop,Cytrox Domain,2021-12-16
domain_name,teslal.shop,Cytrox Domain,2021-12-16
domain_name,teslal.xyz,Cytrox Domain,2021-12-16
domain_name,teslali.com,Cytrox Domain,2021-12-16
domain_name,tgrthgsrgwrthwrtgwr.xyz,Cytrox Domain,2021-12-16
domain_name,timestampsync.com,Cytrox Domain,2021-12-16
domain_name,timeupdate.xyz,Cytrox Domain,2021-12-16
domain_name,timeupdateservice.com,Cytrox Domain,2021-12-16
domain_name,tiny.gr.com,Cytrox Domain,2021-12-16
domain_name,tinylinks.live,Cytrox Domain,2021-12-16
domain_name,tinyulrs.com,Cytrox Domain,2021-12-16
domain_name,tinyurl.cloud,Cytrox Domain,2021-12-16
domain_name,tiol.xyz,Cytrox Domain,2021-12-16
domain_name,tly.gr.com,Cytrox Domain,2021-12-16
domain_name,tly.link,Cytrox Domain,2021-12-16
domain_name,tovima.live,Cytrox Domain,2021-12-16
domain_name,trecv.xyz,Cytrox Domain,2021-12-16
domain_name,trecvf.xyz,Cytrox Domain,2021-12-16
domain_name,trkc.online,Cytrox Domain,2021-12-16
domain_name,tsrt.xyz,Cytrox Domain,2021-12-16
domain_name,tw.itter.me,Cytrox Domain,2021-12-16
domain_name,twtter.net,Cytrox Domain,2021-12-16
domain_name,ube.gr.com,Cytrox Domain,2021-12-16
domain_name,uberegypt.cn.com,Cytrox Domain,2021-12-16
domain_name,updates4you.xyz,Cytrox Domain,2021-12-16
domain_name,updateservice.center,Cytrox Domain,2021-12-16
domain_name,updatetime.zone,Cytrox Domain,2021-12-16
domain_name,updatingnews.xyz,Cytrox Domain,2021-12-16
domain_name,updete.xyz,Cytrox Domain,2021-12-16
domain_name,url-promo.club,Cytrox Domain,2021-12-16
domain_name,url-tiny.app,Cytrox Domain,2021-12-16
domain_name,uservicescheck.com,Cytrox Domain,2021-12-16
domain_name,uservicesforyou.com,Cytrox Domain,2021-12-16
domain_name,utube.digital,Cytrox Domain,2021-12-16
