indicator_type,indicator_value,comment,ds
domain_name,bnt2.live,"UNC788, Iran",2022-04-07
domain_name,archery.dedyn.io,"UNC788, Iran",2022-04-07
domain_name,market.vinam.me,"UNC788, Iran",2022-04-07
domain_name,signin.dedyn.io,"UNC788, Iran",2022-04-07
domain_name,Market.dedyn.io,"UNC788, Iran",2022-04-07
md5,43535540e94b39279af925e9548dce7f,"UNC788, Iran",2022-04-07
md5,9b91427d195b8b7e75fbbc29a798bede,"UNC788, Iran",2022-04-07
md5,aaa55f1e48aba8856661fedc0074e81a,"UNC788, Iran",2022-04-07
md5,6e0ec6bd0bef489c83c2dce4876de5c8,"UNC788, Iran",2022-04-07
md5,70875705e8bc3887cec4ef1873cdb152,"UNC788, Iran",2022-04-07
md5,aa7330d2d360cac61394843d8af730bb,"UNC788, Iran",2022-04-07
md5,ab533be4ff9c99e8a03bc4cd413badb6,"UNC788, Iran",2022-04-07
domain_name,alharbitelecom.co,Previously unreported group (Iran),2022-04-07
domain_name,apply-jobs.com,Previously unreported group (Iran),2022-04-07
domain_name,applytalents.com,Previously unreported group (Iran),2022-04-07
domain_name,appslocallogin.online,Previously unreported group (Iran),2022-04-07
domain_name,careers-finder.com,Previously unreported group (Iran),2022-04-07
domain_name,cloudgoogle.co,Previously unreported group (Iran),2022-04-07
domain_name,cortanaservice.com,Previously unreported group (Iran),2022-04-07
domain_name,cortanaupdate.co,Previously unreported group (Iran),2022-04-07
domain_name,defenderupdate.ddns.net,Previously unreported group (Iran),2022-04-07
domain_name,edge-cloudservices.com,Previously unreported group (Iran),2022-04-07
domain_name,elecresearch.org,Previously unreported group (Iran),2022-04-07
domain_name,enerflex.ddns.net,Previously unreported group (Iran),2022-04-07
domain_name,enerflex.org,Previously unreported group (Iran),2022-04-07
domain_name,etisalatonline.com,Previously unreported group (Iran),2022-04-07
domain_name,exprogroup.org,Previously unreported group (Iran),2022-04-07
domain_name,freechess.live,Previously unreported group (Iran),2022-04-07
domain_name,funnychess.online,Previously unreported group (Iran),2022-04-07
domain_name,getadobe.ddns.net,Previously unreported group (Iran),2022-04-07
domain_name,getadobe.net,Previously unreported group (Iran),2022-04-07
domain_name,globaltalent.in,Previously unreported group (Iran),2022-04-07
domain_name,googleservices.co,Previously unreported group (Iran),2022-04-07
domain_name,googleupdate.co,Previously unreported group (Iran),2022-04-07
domain_name,helpdesk-product.com,Previously unreported group (Iran),2022-04-07
domain_name,khaleejtimes.co,Previously unreported group (Iran),2022-04-07
domain_name,librarycollection.org,Previously unreported group (Iran),2022-04-07
domain_name,linkedinz.me,Previously unreported group (Iran),2022-04-07
domain_name,listen-books.com,Previously unreported group (Iran),2022-04-07
domain_name,lukoil.in,Previously unreported group (Iran),2022-04-07
domain_name,mastergatevpn.com,Previously unreported group (Iran),2022-04-07
domain_name,microsoftcdn.co,Previously unreported group (Iran),2022-04-07
domain_name,microsoftdefender.info,Previously unreported group (Iran),2022-04-07
domain_name,microsoftedgesh.info,Previously unreported group (Iran),2022-04-07
domain_name,mideasthiring.com,Previously unreported group (Iran),2022-04-07
domain_name,office-shop.me,Previously unreported group (Iran),2022-04-07
domain_name,onedrivelive.me,Previously unreported group (Iran),2022-04-07
domain_name,onedriveupdate.net,Previously unreported group (Iran),2022-04-07
domain_name,online-audible.com,Previously unreported group (Iran),2022-04-07
domain_name,online-chess.live,Previously unreported group (Iran),2022-04-07
domain_name,outlookde.live,Previously unreported group (Iran),2022-04-07
domain_name,outlookdelivery.com,Previously unreported group (Iran),2022-04-07
domain_name,remgrogroup.com,Previously unreported group (Iran),2022-04-07
domain_name,saipem.org,Previously unreported group (Iran),2022-04-07
domain_name,sauditourismguide.com,Previously unreported group (Iran),2022-04-07
domain_name,savemoneytrick.com,Previously unreported group (Iran),2022-04-07
domain_name,sharepointnotify.com,Previously unreported group (Iran),2022-04-07
domain_name,sparrowsgroup.org,Previously unreported group (Iran),2022-04-07
domain_name,supportskype.com,Previously unreported group (Iran),2022-04-07
domain_name,talent-recruitment.org,Previously unreported group (Iran),2022-04-07
domain_name,talktalky.azurewebsites.net,Previously unreported group (Iran),2022-04-07
domain_name,thefreemovies.net,Previously unreported group (Iran),2022-04-07
domain_name,updateddns.ddns.net,Previously unreported group (Iran),2022-04-07
domain_name,updatedefender.net,Previously unreported group (Iran),2022-04-07
domain_name,updatedns.ddns.net,Previously unreported group (Iran),2022-04-07
domain_name,updateservices.co,Previously unreported group (Iran),2022-04-07
domain_name,localadmin.online,Azerbaijan,2022-04-07
domain_name,localadmin.ru,Azerbaijan,2022-04-07
domain_name,analyzeryandex.000webhostapp.com,Azerbaijan,2022-04-07
domain_name,vote2021.w3spaces.com,Azerbaijan,2022-04-07
phishing_url,localadmin.online/votes/security,Azerbaijan,2022-04-07
phishing_url,localadmin.online/vote,Azerbaijan,2022-04-07
phishing_url,localadmin.online/vote/fb/login.html,Azerbaijan,2022-04-07
domain_name,latinoamericareporta.com,"CIB: Costa Rica, El Salvador",2022-04-07
domain_name,revistadcr.com,"CIB: Costa Rica, El Salvador",2022-04-07
domain_name,kavkazru.press,"CIB: Russia, Ukraine",2022-04-07
domain_name,politica.in.ua,"CIB: Russia, Ukraine",2022-04-07
domain_name,monitor-ua.com,"CIB: Russia, Ukraine",2022-04-07
domain_name,ukraine2day.com,"CIB: Russia, Ukraine",2022-04-07
