indicator_type,indicator_value,comment,ds
cib_url,https://www.petice[.]com/poadavek_aby_vlada_fiala_kladla_na_prvni_misto_zajmy_svych_oban,China: CIB Petition,9/27/22
cib_url,https://e-petice[.]cz/petitions/pozadavek-aby-vlada-fiala-kladla-na-prvni-misto-zajmy-svych-obcanu-1.html,China: CIB Petition,9/27/22
domain_name,avisindependent.eu,France-targeting CIB domain,9/27/22
domain_name,bild.pics,Germany-targeting CIB domain,9/27/22
domain_name,rrn.world,Multiple-targeting CIB domain,9/27/22
domain_name,welt.tours,Germany-targeting CIB domain,9/27/22
domain_name,dailymail.top,UK-targeting CIB domain,9/27/22
domain_name,repubblica.life,Italy-targeting CIB domain,9/27/22
domain_name,delfi.life,Latvia-targeting CIB domain,9/27/22
domain_name,dailymail.cam,UK-targeting CIB domain,9/27/22
domain_name,dailymail.cfd,UK-targeting CIB domain,9/27/22
domain_name,20minuts.com,France-targeting CIB domain,9/27/22
domain_name,ansa.ltd,Italy-targeting CIB domain,9/27/22
domain_name,spiegel.ltd,Germany-targeting CIB domain,9/27/22
domain_name,theguardian.co.com,UK-targeting CIB domain,9/27/22
domain_name,bild.asia,Germany-targeting CIB domain,9/27/22
domain_name,bild.vip,Germany-targeting CIB domain,9/27/22
domain_name,delfi.today,Latvia-targeting CIB domain,9/27/22
domain_name,delfi.top,Latvia-targeting CIB domain,9/27/22
domain_name,rbk.today,Ukraine-targeting CIB domain,9/27/22
domain_name,spiegel.today,Germany-targeting CIB domain,9/27/22
domain_name,spiegel.fun,Germany-targeting CIB domain,9/27/22
domain_name,spiegel.quest,Germany-targeting CIB domain,9/27/22
domain_name,tonline.cfd,Germany-targeting CIB domain,9/27/22
domain_name,tonline.life,Germany-targeting CIB domain,9/27/22
domain_name,tonline.today,Germany-targeting CIB domain,9/27/22
domain_name,spiegel.pro,Germany-targeting CIB domain,9/27/22
domain_name,bild.eu.com,Germany-targeting CIB domain,9/27/22
domain_name,bild.llc,Germany-targeting CIB domain,9/27/22
domain_name,spiegeli.life,Germany-targeting CIB domain,9/27/22
domain_name,spiegeli.live,Germany-targeting CIB domain,9/27/22
domain_name,spiegeli.today,Germany-targeting CIB domain,9/27/22
domain_name,welt.ltd,Germany-targeting CIB domain,9/27/22
domain_name,faz.ltd,Germany-targeting CIB domain,9/27/22
domain_name,t-onlinr.life,Germany-targeting CIB domain,9/27/22
domain_name,t-onlinr.live,Germany-targeting CIB domain,9/27/22
domain_name,t-onlinr.today,Germany-targeting CIB domain,9/27/22
domain_name,spiegel.agency,Germany-targeting CIB domain,9/27/22
domain_name,schlauespiel.de,Germany-targeting CIB domain,9/27/22
domain_name,tagesspiegel.ltd,Germany-targeting CIB domain,9/27/22
domain_name,spiegelr.live,Germany-targeting CIB domain,9/27/22
domain_name,spiegelr.today,Germany-targeting CIB domain,9/27/22
domain_name,t-onlinl.life,Germany-targeting CIB domain,9/27/22
domain_name,t-onlinl.live,Germany-targeting CIB domain,9/27/22
domain_name,t-onlinl.today,Germany-targeting CIB domain,9/27/22
domain_name,sueddeutsche.me,Germany-targeting CIB domain,9/27/22
domain_name,spiegel.ink,Germany-targeting CIB domain,9/27/22
domain_name,sueddeutsche.online,Germany-targeting CIB domain,9/27/22
domain_name,t-online.life,Germany-targeting CIB domain,9/27/22
domain_name,nd-aktuell.net,Germany-targeting CIB domain,9/27/22
domain_name,zestiftung.com,Germany-targeting CIB domain,9/27/22
domain_name,bild.expert,Germany-targeting CIB domain,9/27/22
domain_name,bild.ws,Germany-targeting CIB domain,9/27/22
domain_name,faz.agency,Germany-targeting CIB domain,9/27/22
domain_name,nd-aktuell.pro,Germany-targeting CIB domain,9/27/22
domain_name,spiegel.work,Germany-targeting CIB domain,9/27/22
domain_name,sueddeutsche.cc,Germany-targeting CIB domain,9/27/22
domain_name,welt.ws,Germany-targeting CIB domain,9/27/22
domain_name,sueddeutsche.co,Germany-targeting CIB domain,9/27/22
domain_name,tagesspiegel.co,Germany-targeting CIB domain,9/27/22
domain_name,welt.media,Germany-targeting CIB domain,9/27/22
domain_name,nd-aktuell.co,Germany-targeting CIB domain,9/27/22
domain_name,bild.work,Germany-targeting CIB domain,9/27/22
domain_name,spiegel.cab,Germany-targeting CIB domain,9/27/22
domain_name,faz.life,Germany-targeting CIB domain,9/27/22
domain_name,fraiesvolk.com,Germany-targeting CIB domain,9/27/22
domain_name,fraiepozition.live,Germany-targeting CIB domain,9/27/22
domain_name,fraiepozition.online,Germany-targeting CIB domain,9/27/22
domain_name,fraiepozition.site,Germany-targeting CIB domain,9/27/22
domain_name,fraiepozition.store,Germany-targeting CIB domain,9/27/22
domain_name,offinemainung.info,Germany-targeting CIB domain,9/27/22
domain_name,offinemainung.live,Germany-targeting CIB domain,9/27/22
domain_name,offinemaining.fun,Germany-targeting CIB domain,9/27/22
domain_name,offinemaining.online,Germany-targeting CIB domain,9/27/22
domain_name,offinemaining.pw,Germany-targeting CIB domain,9/27/22
domain_name,offinemaining.site,Germany-targeting CIB domain,9/27/22
domain_name,offinemaining.website,Germany-targeting CIB domain,9/27/22
domain_name,werdunstorker.fun,Germany-targeting CIB domain,9/27/22
domain_name,werdunstorker.online,Germany-targeting CIB domain,9/27/22
domain_name,werdunstorker.pw,Germany-targeting CIB domain,9/27/22
domain_name,offinemaiunng.online,Germany-targeting CIB domain,9/27/22
domain_name,offinemaiunng.pw,Germany-targeting CIB domain,9/27/22
domain_name,offinemaiunng.space,Germany-targeting CIB domain,9/27/22
domain_name,offinemanung.online,Germany-targeting CIB domain,9/27/22
domain_name,offinemanung.site,Germany-targeting CIB domain,9/27/22
domain_name,offinemanung.website,Germany-targeting CIB domain,9/27/22
domain_name,offinemaunng.online,Germany-targeting CIB domain,9/27/22
domain_name,offineminung.online,Germany-targeting CIB domain,9/27/22
domain_name,offineminung.pw,Germany-targeting CIB domain,9/27/22
domain_name,offineminung.site,Germany-targeting CIB domain,9/27/22
domain_name,offineminung.space,Germany-targeting CIB domain,9/27/22
domain_name,offineminung.website,Germany-targeting CIB domain,9/27/22
domain_name,offinemiunng.online,Germany-targeting CIB domain,9/27/22
domain_name,offinemiunng.space,Germany-targeting CIB domain,9/27/22
domain_name,offinemizung.online,Germany-targeting CIB domain,9/27/22
domain_name,offinemizung.website,Germany-targeting CIB domain,9/27/22
domain_name,offinemnung.online,Germany-targeting CIB domain,9/27/22
domain_name,offinemnung.space,Germany-targeting CIB domain,9/27/22
domain_name,offinemunng.online,Germany-targeting CIB domain,9/27/22
domain_name,offinemunng.website,Germany-targeting CIB domain,9/27/22
domain_name,affinemainung.fun,Germany-targeting CIB domain,9/27/22
domain_name,affinemainung.online,Germany-targeting CIB domain,9/27/22
domain_name,affinemainung.space,Germany-targeting CIB domain,9/27/22
domain_name,affinemainung.website,Germany-targeting CIB domain,9/27/22
domain_name,affinemaiunng.fun,Germany-targeting CIB domain,9/27/22
domain_name,affinemaiunng.online,Germany-targeting CIB domain,9/27/22
domain_name,affinemaiunng.site,Germany-targeting CIB domain,9/27/22
domain_name,affinemaiunng.space,Germany-targeting CIB domain,9/27/22
domain_name,affinemaiunng.website,Germany-targeting CIB domain,9/27/22
domain_name,affinemanung.fun,Germany-targeting CIB domain,9/27/22
domain_name,affinemanung.site,Germany-targeting CIB domain,9/27/22
domain_name,affinemanung.website,Germany-targeting CIB domain,9/27/22
domain_name,affineminung.fun,Germany-targeting CIB domain,9/27/22
domain_name,affineminung.online,Germany-targeting CIB domain,9/27/22
domain_name,affineminung.site,Germany-targeting CIB domain,9/27/22
domain_name,affinemiunng.fun,Germany-targeting CIB domain,9/27/22
domain_name,affinemiunng.site,Germany-targeting CIB domain,9/27/22
domain_name,affinemiunng.space,Germany-targeting CIB domain,9/27/22
domain_name,affinemiunng.website,Germany-targeting CIB domain,9/27/22
domain_name,fariepoziitn.online,Germany-targeting CIB domain,9/27/22
domain_name,fariepoziitn.site,Germany-targeting CIB domain,9/27/22
domain_name,fariepoziitn.space,Germany-targeting CIB domain,9/27/22
domain_name,fariepoziitn.website,Germany-targeting CIB domain,9/27/22
domain_name,faripoziiton.fun,Germany-targeting CIB domain,9/27/22
domain_name,faripoziiton.online,Germany-targeting CIB domain,9/27/22
domain_name,faripoziiton.space,Germany-targeting CIB domain,9/27/22
domain_name,faripoziiton.website,Germany-targeting CIB domain,9/27/22
domain_name,fraiopziiton.online,Germany-targeting CIB domain,9/27/22
domain_name,fraiopziiton.site,Germany-targeting CIB domain,9/27/22
domain_name,offebnarugn.online,Germany-targeting CIB domain,9/27/22
domain_name,offebnarugn.site,Germany-targeting CIB domain,9/27/22
domain_name,offebnarugn.space,Germany-targeting CIB domain,9/27/22
domain_name,offebnarugn.website,Germany-targeting CIB domain,9/27/22
domain_name,offebnurgn.online,Germany-targeting CIB domain,9/27/22
domain_name,offebnurgn.site,Germany-targeting CIB domain,9/27/22
domain_name,offebnurgn.space,Germany-targeting CIB domain,9/27/22
domain_name,offebnurgn.website,Germany-targeting CIB domain,9/27/22
domain_name,offenbarugn.online,Germany-targeting CIB domain,9/27/22
domain_name,offenbarugn.site,Germany-targeting CIB domain,9/27/22
domain_name,offenbarugn.space,Germany-targeting CIB domain,9/27/22
domain_name,offenbarugn.website,Germany-targeting CIB domain,9/27/22
domain_name,offenbaurgn.online,Germany-targeting CIB domain,9/27/22
domain_name,offenbaurgn.site,Germany-targeting CIB domain,9/27/22
domain_name,offenbaurgn.space,Germany-targeting CIB domain,9/27/22
domain_name,offenbaurgn.website,Germany-targeting CIB domain,9/27/22
domain_name,alldrings.online,Germany-targeting CIB domain,9/27/22
domain_name,alldrings.pw,Germany-targeting CIB domain,9/27/22
domain_name,alldrings.space,Germany-targeting CIB domain,9/27/22
domain_name,alldrings.website,Germany-targeting CIB domain,9/27/22
domain_name,alledrigns.online,Germany-targeting CIB domain,9/27/22
domain_name,alledrigns.pw,Germany-targeting CIB domain,9/27/22
domain_name,alledrigns.site,Germany-targeting CIB domain,9/27/22
domain_name,alledrigns.space,Germany-targeting CIB domain,9/27/22
domain_name,alledrigns.website,Germany-targeting CIB domain,9/27/22
domain_name,alledrngs.online,Germany-targeting CIB domain,9/27/22
domain_name,alledrngs.pw,Germany-targeting CIB domain,9/27/22
domain_name,alledrngs.space,Germany-targeting CIB domain,9/27/22
domain_name,alledrngs.website,Germany-targeting CIB domain,9/27/22
domain_name,allerdigns.online,Germany-targeting CIB domain,9/27/22
domain_name,allerdigns.site,Germany-targeting CIB domain,9/27/22
domain_name,allerdigns.space,Germany-targeting CIB domain,9/27/22
domain_name,allerdigns.website,Germany-targeting CIB domain,9/27/22
domain_name,dassprachrohr.online,Germany-targeting CIB domain,9/27/22
domain_name,dassprachrohr.site,Germany-targeting CIB domain,9/27/22
domain_name,dassprachrohr.space,Germany-targeting CIB domain,9/27/22
domain_name,dassprachrohr.website,Germany-targeting CIB domain,9/27/22
domain_name,dassprahcrohr.online,Germany-targeting CIB domain,9/27/22
domain_name,dassprahcrohr.site,Germany-targeting CIB domain,9/27/22
domain_name,dassprahcrohr.space,Germany-targeting CIB domain,9/27/22
domain_name,dassprahcrohr.website,Germany-targeting CIB domain,9/27/22
domain_name,dassprhcorhr.online,Germany-targeting CIB domain,9/27/22
domain_name,dassprhcorhr.site,Germany-targeting CIB domain,9/27/22
domain_name,dassprhcorhr.space,Germany-targeting CIB domain,9/27/22
domain_name,dassrpahcorhr.online,Germany-targeting CIB domain,9/27/22
domain_name,dassrpahcorhr.site,Germany-targeting CIB domain,9/27/22
domain_name,dassrpahcorhr.space,Germany-targeting CIB domain,9/27/22
domain_name,dassrpahcorhr.website,Germany-targeting CIB domain,9/27/22
domain_name,lenreuzdeknen.online,Germany-targeting CIB domain,9/27/22
domain_name,lenreuzdeknen.site,Germany-targeting CIB domain,9/27/22
domain_name,lenreuzdeknen.space,Germany-targeting CIB domain,9/27/22
domain_name,lenreuzdeknen.website,Germany-targeting CIB domain,9/27/22
domain_name,lenruzdeknn.online,Germany-targeting CIB domain,9/27/22
domain_name,lenruzdeknn.site,Germany-targeting CIB domain,9/27/22
domain_name,lenruzdeknn.space,Germany-targeting CIB domain,9/27/22
domain_name,lenruzdeknn.website,Germany-targeting CIB domain,9/27/22
domain_name,lenrzuednken.online,Germany-targeting CIB domain,9/27/22
domain_name,lenrzuednken.site,Germany-targeting CIB domain,9/27/22
domain_name,lenrzuednken.space,Germany-targeting CIB domain,9/27/22
