Tactic,Technique,Procedure,Indicator
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,63 accounts
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,44 Pages
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,28 Groups
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/SaraSil39636921
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,https://www.youtube[.]com/@user-xf2zm5jj9h
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,https://www.youtube[.]com/@knowindia303
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,https://www.youtube[.]com/@northeastunion7212
,,,
1 Disguising assets,1.1 Adopting visual disguise,1.1.2 Using profile pictures like created using generative adversarial networks (GAN),Using profile pictures likely generated using machine learning techniques like GAN
1 Disguising assets,1.5 Impersonating real institution,1.5.1 Impersonating news website ,"The network ran a number of cross-platform ""news outlets"", including one called Northeast Union (see YouTube link above)"
,,,
3. Coordinating and planning,3.1 Coordinating shift patterns,3.1.1 Working to a regular shift pattern,"Working a 9-5, Monday-to-Friday shift pattern appropriate for the GMT +8 time zone, with much lower activity at lunchtime and the weekends"
,,,
5. Evading detection,5.4 Copying authentic content,5.4.1 Copying authentic news articles,"Between its own posts, the network posted content copied from authentic news outlets focused on the regions it targeted"
,,,
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.1 Amplifying with likely fake accounts on Facebook,Sharing on Facebook
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.4 Amplifying with likely fake accounts on X/Twitter,Sharing on Twitter
,,,
7. Targeted engagement,7.1 Running ads,7.1.1 Advertising to promote content,"About $73,600 in spending for ads on Facebook and Instagram, paid for mostly in US Dollars."
7. Targeted engagement,7.3 Engaging with specific audience,7.3.2 Posting into specifically themed Groups,Posting in Groups focused on topics of interest to the network
7. Targeted engagement,7.3 Engaging with specific audience,7.3.1 Using audience-specific hashtags ,The network's Twitter account used hashtags appropriate to the region and audience it was targeting
7. Targeted engagement,7.5 Directing online traffic,7.5.1 Directing audience to other social media,Directing people towards network's YouTube channels
7. Targeted engagement,7.8 Direct outreach,7.8.1 Tagging social media users,"

The network's Twitter account tagged media and institutions including the UN Human Rights office and BBC World. There is no indication that they engaged in return."
