Tactic,Technique,Procedure,Indicator
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,82 accounts
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,27 Pages
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,9 Groups
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.2 Acquiring Instagram accounts,2 accounts
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,http://tiktok[.]com/@juurnalistebi
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,http://tiktok[.]com/@igaribashvili
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,https://www.tiktok[.]com/@irakli4georgia
,,,
1. Disguising assets,1.2 Posing as non-existent person,1.2.3 Posing as fictional activist,The network's fake personas posed as pro-government activists and organizations
1. Disguising assets,1.2 Posing as non-existent person,1.2.8 Posing as fictional person in target region,The network created elaborate fictitious personas posing as pro-government citizens of Georgia
,,,
2. Gathering information,2.2 Monitoring specific events,"2.2.1 Monitoring breaking news
","The network reacted to events in Georgia in real time, indicating an ability to track and respond to breaking news. The method used to do this is not known."
,,,
3. Coordinating and planning,3.1 Coordinating shift patterns,3.1.1 Working to a regular shift pattern,"The network operated around the clock, including posting in the middle of the night (Georgia time). The method used to coordinate this is not known."
,,,
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.1 Amplifying with likely fake accounts on Facebook,Sharing on Facebook
,,,
7. Targeted engagement,7.1 Running ads,7.1.1 Advertising to promote content,"About $33,540 in spending for ads on Facebook and Instagram, paid for mostly in US dollars."
7. Targeted engagement,7.3 Engaging with specific audience,7.3.2 Posting into specifically themed Groups,Posting into Groups focused on local events in Georgia
7. Targeted engagement,7.3 Engaging with specific audience,7.3.3 Commenting on specific posts,The network often posted long-form comments below other people's posts
7. Targeted engagement,7.6 Posting about individuals,7.6.1 Posting negative content about named individuals,The network posted hostile commentary about Georgian opposition activists and protesters
