Tactic,Technique,Procedure,Indicator,Comments
0 Acquiring assets,0.4 Acquiring business assets,0.4.1 Registering company,"Predictvia, a Florida-registered firm",
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,21 accounts,
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.9 Acquiring and repurposing accounts,"The network used some Facebook accounts with Cyrillic names that nevertheless posted in Spanish, and were likely acquired from account farms in Eastern Europe",
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,88 Pages,
0 Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,eleccionesguate2023[.]com,
0 Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,catrachonews[.]com,
0 Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,hondurasleaks[.]com,
0 Acquiring assets,0.2 Acquiring email addresses,0.2.1 Acquiring email addresses on owned domains,Configure eleccionesguate2023[.]com with Titan.email service,
0 Acquiring assets,0.2 Acquiring email addresses,0.2.1 Acquiring email addresses on owned domains,Configure catrachonews[.]com with Titan.email service,
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/elecciongt2023,
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/catracho_news,
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/LeaksHonduras,
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/legion_504,
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.8 Acquiring accounts on online forums,notihonduras504.medium[.]com,Acquiring Medium blogs
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.8 Acquiring accounts on online forums,vozanoticias.medium[.]com,Acquiring Medium blogs
,,,,
1. Disguising assets,1.8 Backstopping,1.8.1 Backstopping fictitious individual across multiple websites,"The network created fake personas (see below) with the same naming convention and branding across websites, Facebook and Twitter",Creating cross-platform personas
1. Disguising assets,1.2 Posing as non-existent person,1.2.2 Posing as fictional journalist,Elecciones Guate 2023,"Creating fake ""fact check"" persona"
1. Disguising assets,1.3 Posing as non-existent institution,1.3.1 Creating fictitious news outlet ,Catracho News,
1. Disguising assets,1.2 Posing as non-existent person,1.2.4 Posing as fictional hacktivist,Hondurasleaks,
,,,,
5. Evading detection,5.1 Privacy protection,5.1.1 Privacy protecting website registrations,Registering domain with Hosting Concepts B.V. d/b/a Registrar[.]eu,
5. Evading detection,5.1 Privacy protection,5.1.1 Privacy protecting website registrations,Registering domains with realtimeregistrar[.]com,
,,,,
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.1 Amplifying with likely fake accounts on Facebook,Sharing on Facebook,
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.4 Amplifying with likely fake accounts on X/Twitter,Sharing on X / Twitter,
,,,,
7. Targeted engagement,7.1 Running ads,7.1.1 Advertising to promote content,"About $1,650 in spending for ads on Facebook and Instagram, paid for mostly in US Dollars",
7. Targeted engagement,7.3 Engaging with specific audience,7.3.1 Using audience-specific hashtags ,The network's Twitter accounts used hashtags appropriate to the region and audience they were targeting,
7. Targeted engagement,7.3 Engaging with specific audience,7.3.3 Commenting on specific posts,The network often posted long-form comments below other people's posts,
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.1 Posting negative content about named individuals or institutions,The network posted hostile commentary about the mayor of San Juan in Guatemala and the President of the Honduran Congress,
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.2 Posting positive content about named individuals institutions,The network posted positive commentary about the Liberal Party in Honduras.,
7. Targeted engagement,7.8 Direct outreach,7.8.1 Tagging social media users,The network's Twitter accounts occasionally tagged politicians in the target countries. No indication that they engaged in return.,
,,,,
9. Enabling longevity,9.1 Changing personas,9.1.1 Creating new persona ,"According to the Internet Archive, the ""HondurasLeaks"" website linked to twitter[.]com/leakshonduras until at least January 18, 2022, but changed the link to twitter[.]com/legion_504 some time before February 1, 2022.",
