Tactic ,Technique,Procedure,Indicator
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,israelboycottvoice[.]com
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,palestinesupporter[.]com
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,17 accounts
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,22 Pages
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.2 Acquiring Instagram accounts,21 accounts
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/BoycottVoice3
,,,
1. Disguising assets,1.2 Posing as non-existent person,1.2.2 Posing as fictional journalist,Many of these accounts posed as female journalists and pro-Palestine activists
1. Disguising assets,1.2 Posing as non-existent person,1.2.3 Posing as fictional activist,
,,,
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.1 Amplifying with likely fake accounts on Facebook,"The people behind this activity used fake accounts – some of which were detected and disabled by our automated systems prior to our investigation – to post content, including in Groups, manage Pages, and to comment on the network’s own content – likely to make it appear more popular than it was.

"
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.2 Amplifying with likely fake accounts on Instagram,
,,,
7. Targeted engagement,7.1 Running ads,7.1.1 Advertising to promote content,"About $70 in spending for ads, paid for primarily in US and Canadian dollars.

"
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.2 Acquiring Page followers,"About 44,000 accounts followed one or more of these Pages

"
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.4 Acquiring Instagram followers,"about 63,000 accounts followed one or more of these Instagram accounts"
7. Targeted engagement,7.3 Engaging with specific audience,7.3.1 Using audience-specific hashtags ,"The operation used popular hashtags like #palestine, #gaza, #starbucks, #instagram in their posts, as part of its spammy tactics in an attempt to insert themselves in the existing public discourse."
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.1 Posting negative content about named individuals or institutions,"The operators posted in Azeri about news and current events, including the Paris Olympics, Israel’s 2024 pager attacks, boycott of American brands, and criticisms of the US, President Biden and Israel’s actions in Gaza.

"
