Tactic ,Technique,Procedure,Indicator
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,658 accounts
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,14 Pages 
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.2 Acquiring Instagram accounts,2 accounts 
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,x[.]com/popa_mariannn
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,x[.]com/ionitaeva509
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,x[.]com/nicolescuanas31
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,x[.]com/DariusMindru
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,x[.]com/nicolasstoica98
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,x[.]com/campau_sorin
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,www.youtube[.]com/@M%C4%83tu%C8%99adela%C8%9Bar%C4%83-r4y
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,www.youtube[.]com/@Prost%C4%83nacul-x6z
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,www.tiktok[.]com/@emilmitreaa
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,www.tiktok[.]com/@bucursofiaa
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,www.tiktok[.]com/@dariusvictoria
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,www.tiktok[.]com/@nicolasstoica50
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,https://www.tiktok[.]com/@campausorin
,,,
1. Disguising assets,1.2 Posing as non-existent person,1.2.8 Posing as fictional person in target region,"This operation’s accounts posed as locals in Romania posting about sports, travel or local news.

"
1. Disguising assets,1.8 Backstopping,1.8.1 Backstopping fictitious individual across multiple websites,"These accounts posed as locals in Romania posting about sports, travel, or local news and had a corresponding presence on YouTube, X, and TikTok, likely to backstop their fictitious personas and entities across the internet in an attempt to make them appear more credible.

"
,,,
5. Evading detection,5.5 Obfuscating infrastructure,5.5.1 Using proxy IP in target country,"This campaign showed consistent operational security (OpSec) aimed to conceal its origin and coordination, including by relying on proxy IP infrastructure.

"
,,,
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.1 Amplifying with likely fake accounts on Facebook,"The people behind this activity used fake accounts to manage Pages, drive people to off-platform websites, and comment on posts by politicians and news entities. The majority of these comments received no engagement from authentic audiences.

"
,,,
7. Targeted engagement,7.1 Running ads,7.1.1 Advertising to promote content,"About $177,000 in spending for ads, paid for primarily in US dollars.
"
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.2 Acquiring Page followers,"About 18,300 accounts followed one or more of these Pages."
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.4 Acquiring Instagram followers,Around 35 accounts followed one or more of these Instagram accounts.
