Tactic ,Technique,Procedure,Indicator,Notes
0. Acquiring assets,0.1 Acquiring IP addresses,0.1.1 Acquiring proxy IP addresses,45[.]141[.]152[.]19,
0. Acquiring assets,0.1 Acquiring IP addresses,0.1.1 Acquiring proxy IP addresses,146[.]70[.]118[.]226,
0. Acquiring assets,0.1 Acquiring IP addresses,0.1.1 Acquiring proxy IP addresses,45[.]141[.]152[.]18,
0. Acquiring assets,0.1 Acquiring IP addresses,0.1.1 Acquiring proxy IP addresses,45[.]141[.]152[.]194,
0. Acquiring assets,0.1 Acquiring IP addresses,0.1.1 Acquiring proxy IP addresses,5[.]9[.]29[.]230,
0. Acquiring assets,0.1 Acquiring IP addresses,0.1.1 Acquiring proxy IP addresses,104[.]237[.]255[.]202,
0. Acquiring assets,0.1 Acquiring IP addresses,0.1.1 Acquiring proxy IP addresses,116[.]202[.]235[.]13,
,,,,
1. Disguising assets,1.2 Posing as non-existent person,1.2.8 Posing as fictional person in target region,"The threat actors impersonated students, creating social media personas to match corresponding bylines on their website articles.",
1. Disguising assets,1.4 Impersonating real person,1.4.1 Impersonating researcher or think tanker,"The threat actors often impersonated journalists or masquerade as students, creating social media personas to match corresponding bylines on their website articles.",
1. Disguising assets,1.5 Impersonating real institution,1.5.1 Impersonating news website ,"In earlier days, this network often typosquatted popular news websites, though they later evolved.",
,,,,
6. Indiscriminate engagement,6.1 Posting on websites ,6.1.1 Posting original content on websites ,This network operates domains on which they place misleading articles in an attempt to deceive users.,
,,,,
7. Targeted engagement,7.8 Direct outreach,7.8.3 Contacting news organizations ,"Contacted authentic outlets and journalists in attempts to launder their narratives into mainstream press, even recycling personas across campaigns years apart. However, these efforts have been largely unsuccessful. ",
