Tactic ,Technique,Procedure,Indicator,Notes
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,hxxps://gagauzia24[.]info/,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,15 acounts,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,6 pages,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,7 groups,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.2 Acquiring Instagram accounts,4 accounts,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,hxxp://x[.]com/gagauzianews24,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,hxxp://x[.]com/gagauzinfomd,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,hxxps://www[.]youtube[.]com/@gagauzia_24,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,hxxp://tiktok[.]com/@gagauzia24,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,hxxp://tiktok[.]com/@gagauzportal,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,hxxp://tiktok[.]com/@golosgagauzii,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.12 Acquiring other social media assets,hxxp://vk[.]com/id464508604,
,,,,
1. Disguising assets,1.3 Posing as non-existent institution,1.3.3 Creating fictitious activist movement,"The network engaged in sophisticated grassroots impersonation tactics, creating original video interviews with local residents under the ""Voice of Gagauzia"" brand which appeared designed to appear as an authentic initiative while covertly advancing specific campaign messaging.",
,,,,
6. Indiscriminate engagement,6.1 Posting on websites ,6.1.1 Posting original content on websites ,"The network engaged created original video interviews with local residents under the ""Voice of Gagauzia"" brand which appeared designed to appear as an authentic initiative while covertly advancing specific campaign messaging.",
,,,,
7. Targeted engagement,7.1 Running ads,7.1.1 Advertising to promote content,"Network operators engaged in around $300 in spending for ads on Facebook and Instagram, paid for mostly in US Dollars.",
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.2 Acquiring Page followers,"About 6,300 accounts followed one or more of these Pages.",
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.3 Acquiring Group members,"About 27,400 accounts followed one or more of these Groups.",
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.4 Acquiring Instagram followers,"About 119,400 accounts followed one or more of these Instagram accounts.",
