Tactic,Technique,Procedure,Indicator,Comments
0 Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,favreports.com,
0 Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,bin945creative.com,
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,60 accounts,
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,37 Pages,
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,2 Groups,
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.2 Acquiring Instagram accounts,20 Instagram accounts,
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/themarginale,
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/buyukdirilis,
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/siyasetcanli,
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/BTSPaylasimlari,
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/FavReports,
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,https://www.youtube[.]com/@themarginale,
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,https://www.tiktok[.]com/@themarginale,
0 Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,https://www.tiktok[.]com/@reisicumhurtr,
,,,,
1 Disguising assets,1.1 Adopting visual disguise,1.1.2 Using profile pictures like created using generative adversarial networks (GAN),Some of these fake accounts used profile photos likely generated using machine learning techniques like generative adversarial networks (GAN),
1 Disguising assets,1.4 Impersonating real person,1.4.2 Using duplicate accounts ,The network’s operators used duplicate accounts to manage its Pages and Groups,
1 Disguising assets,1.8 Backstopping,1.8.2 Backstopping fictitious brand or organization across multiple websites,Büyük Türkiye,"The network operated “brands” with the same iconography and name across Facebook, Instagram, X (aka) Twitter and TikTok"
1 Disguising assets,1.8 Backstopping,1.8.2 Backstopping fictitious brand or organization across multiple websites,Marginale,"The network operated “brands” with the same iconography and name across Facebook, Instagram, X (aka) Twitter and TikTok"
1 Disguising assets,1.8 Backstopping,1.8.2 Backstopping fictitious brand or organization across multiple websites,Genç Mürteci Paylaşımları,"The network operated “brands” with the same iconography and name across Facebook, Instagram, X (aka) Twitter and TikTok"
1 Disguising assets,1.8 Backstopping,1.8.2 Backstopping fictitious brand or organization across multiple websites,Diriliş Büyük Türkiye,"The network operated “brands” with the same iconography and name across Facebook, Instagram, X (aka) Twitter and TikTok"
1 Disguising assets,1.8 Backstopping,1.8.2 Backstopping fictitious brand or organization across multiple websites,Büyük Türkiye Sayfası,"The network operated “brands” with the same iconography and name across Facebook, Instagram, X (aka) Twitter and TikTok"
1 Disguising assets,1.8 Backstopping,1.8.2 Backstopping fictitious brand or organization across multiple websites,Gönül Adamı,"The network operated “brands” with the same iconography and name across Facebook, Instagram, X (aka) Twitter and TikTok"
,,,,
5. Evading detection,5.1 Privacy protection,5.1.1 Privacy protecting website registrations,The network used NameCheap to obfuscate domain registration details.,
,,,,
6 Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.1 Amplifying with likely fake accounts on Facebook,"The network used accounts across Facebook, Instagram, X (aka Twitter) and TikTok to share videos and content",
6 Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.2 Amplifying with likely fake accounts on Instagram,"The network used accounts across Facebook, Instagram, X (aka Twitter) and TikTok to share videos and content",
6 Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.4 Amplifying with likely fake accounts on X/Twitter,"The network used accounts across Facebook, Instagram, X (aka Twitter) and TikTok to share videos and content",
6 Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.6 Amplifying with likely fake accounts on TikTok,"The network used accounts across Facebook, Instagram, X (aka Twitter) and TikTok to share videos and content",
,,,,
7 Targeted engagement,7.1 Running ads,7.1.1 Advertising to promote content,"About $667,000 in spending for ads on Facebook, paid for mostly in Turkish lira",
7 Targeted engagement,7.3 Engaging with specific audience,7.3.1 Using audience-specific hashtags ,The network's Instagram accounts used hashtags appropriate to the region and audience it was targeting,
