Tactic,Technique,Procedure,Indicator,Comments
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,fox-news[.]in," Domains spoofing news or government sites Registration date: 10-18-2023, Country likely targeted: USA"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,fox-news[.]top," Domains spoofing news or government sites Registration date: 02-10-2022, Country likely targeted: USA"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,jiraboom[.]pro (Hosted a spoof of Der Spiegel)," Domains spoofing news or government sites Registration date: 09-23-2023, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,leparisien[.]pm," Domains spoofing news or government sites Registration date: 08-03-2023, Country likely targeted: France"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,lepoint[.]foo," Domains spoofing news or government sites Registration date: 08-07-2023, Country likely targeted: France"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,pravda-ua[.]rest," Domains spoofing news or government sites Registration date: 08-02-2023, Country likely targeted: Ukraine"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,pravda-ua[.]space," Domains spoofing news or government sites Registration date: 08-02-2023, Country likely targeted: Ukraine"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,polityka[.]pro," Domains spoofing news or government sites Registration date: 08-29-2023, Country likely targeted: Poland"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,rbk-sourse[.]digital," Domains spoofing news or government sites Registration date: 09-16-2023, Country likely targeted: Ukraine"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,unian[.]pm," Domains spoofing news or government sites Registration date: 10-13-2023, Country likely targeted: Ukraine"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,polskieradio24[.]net," Domains spoofing news or government sites Registration date: 08-18-2023, Country likely targeted: Poland"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,leparisien[.]cc," Domains spoofing news or government sites Registration date: 07-23-2023, Country likely targeted: France"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,liberation[.]ltd," Domains spoofing news or government sites Registration date: 07-11-2023, Country likely targeted: France"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,walla[.]com[.]co," Domains spoofing news or government sites Registration date: 07-11-2023, Country likely targeted: Israel"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,lepoint[.]info," Domains spoofing news or government sites Registration date: 07-11-2023, Country likely targeted: France"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,nato[.]ws," Domains spoofing news or government sites Registration date: 07-06-2023, Country likely targeted: NATO"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,govv[.]pw," Domains spoofing news or government sites Registration date: 07-04-2023, Country likely targeted: Poland"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,mfa-qov[.]info," Domains spoofing news or government sites Registration date: 06-15-2023, Country likely targeted: Ukraine"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,morgenpost[.]ltd," Domains spoofing news or government sites Registration date: 06-09-2023, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,la-croix[.]cam," Domains spoofing news or government sites Registration date: 06-09-2023, Country likely targeted: France"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,foxnews[.]cx," Domains spoofing news or government sites Registration date: 06-07-2023, Country likely targeted: USA"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,bundespolizei[.]pe," Domains spoofing news or government sites Registration date: 06-06-2023, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,ua-pravda[.]click," Domains spoofing news or government sites Registration date: 06-01-2023, Country likely targeted: Ukraine"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,bund[.]pe," Domains spoofing news or government sites Registration date: 05-30-2023, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,gouv[.]fm," Domains spoofing news or government sites Registration date: 05-25-2023, Country likely targeted: France"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,mako[.]news," Domains spoofing news or government sites Registration date: 05-22-2023, Country likely targeted: Israel"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,blld[.]live," Domains spoofing news or government sites Registration date: 05-01-2023, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,obozrevatel[.]ltd," Domains spoofing news or government sites Registration date: 03-10-2023, Country likely targeted: Ukraine"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,sueddeutsche[.]ltd," Domains spoofing news or government sites Registration date: 03-05-2023, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,rbk[.]media," Domains spoofing news or government sites Registration date: 02-21-2023, Country likely targeted: Ukraine"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,washingtonpost[.]ltd," Domains spoofing news or government sites Registration date: 02-16-2023, Country likely targeted: USA"
