Tactic,Technique,Procedure,Indicator
0. Acquiring Assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,https://afgreview[.]com/
0. Acquiring Assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,http://www.tahlilroz[.]af/
0. Acquiring Assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,www.Tahlilroz[.]com
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/afg_review
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/Tahlilroz_af
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channel,https://www.youtube[.]com/channel/UCYV-Ra383fb4sTaXqi-XV5Q
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,https://t[.]me/AfghanistanDevelopments
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,https://t[.]me/Tahlilroz_af
,,,
9. Enabling longevity,9.5 Replacing infrastructure,9.5.1 Changing social media accounts,Acquiring new social media accounts to replace disabled ones
