Tactic,Technique,Procedure,Indicator
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter account,https://twitter.com/SGTnewsNetwork
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channel,https://www.youtube.com/c/SGTNewsNetwrok
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channel,https://t.me/s/SGTnewsNetwork
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.8 Acquiring accounts on online forums,https://truthsocial.com/@SGTnewsNetwork
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.8 Acquiring accounts on online forums,https://gettr.com/user/sgtnewsnetwork
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.8 Acquiring accounts on online forums,https://gab.com/SGTnewsNetwork
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.8 Acquiring accounts on online forums,https://linktr.ee/SGTnews
0. Acquiring Assets,0.9 Acquiring social media accounts,0.9.8 Acquiring accounts on online forums,https://www.linkedin.com/in/sgtnewsnetwork
,,,
1. Disguising assets,1.2 Posing as non-existent person,1.2.5 Posing as fictional military personnel,The cluster posed as an American veteran
1. Disguising assets,1.8 Backstopping,1.8.2 Backstopping fictitious brand or organization across multiple websites,The cluster adopted the same persona across multiple platforms
,,,
5. Evading detection,5.4 Copying authentic content,5.4.2 Copying authentic social media posts,"Many of the operation’s posts were copied, without attribution, from real people or institutions on social media."
