Tactic ,Technique,Procedure,Indicator,Notes
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,52 Accounts,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,134 Pages,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.2 Acquiring Instagram accounts,35 Accounts,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,https://www[.]youtube[.]com/@Do_Rzeczy,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,https://www[.]youtube[.]com/@Sahel_Urgent,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,https://www[.]youtube[.]com/@nabdazzamani,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,https://www[.]youtube[.]com/@ua_telemarahvon,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,https://www[.]youtube[.]com/@Inshymuslovamy,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,https://www[.]youtube[.]com/@Britannia_Calls,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,https://www[.]youtube[.]com/@BritBrief_news,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,https://www[.]youtube[.]com/@libyaeveryday,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,https://www[.]youtube[.]com/@sawtuhaftar,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,https://www[.]youtube[.]com/@wijhatunazari,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,https://www[.]youtube[.]com/@w.punkt_pl,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,https://www[.]youtube[.]com/@studio.troops,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,https://www[.]youtube[.]com/@nepotuzhno,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,www[.]youtube[.]com/@ImastunYerkir,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,www[.]youtube[.]com/@annayi_gaghtniqner,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,www[.]youtube[.]com/@luys_herustaaliq,
