Tactic ,Technique,Procedure,Indicator
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,hminewai[.]com
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,kothet[.]com
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,banyunt[.]info
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,http://t[.]me/factcheckmm
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,http://t[.]me/daily21news
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,http://t[.]me/manawpyomay
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,http://t[.]me/tgitharmm
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,http://t[.]me/evidenceoftruth
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,http://t[.]me/myitsone1990
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,http://t[.]me/inntharlay
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,http://t[.]me/dgf21news
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,https[:]//t[.]me/newsmayyu
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,http[:]//t[.]me/rakhinedailynews
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,https{:}//t[.]me/kothetjournalist
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,https[:]//t[.]me/s/hminewai
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,https://www.youtube[.]com/@KoThet-pv9fm
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/KoThet969
,,,
,,,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,381 accounts
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,88 Pages
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,19 Groups
,,,
1. Disguising assets,1.2 Posing as non-existent person,1.2.8 Posing as fictional person in target region,"Posing as members of ethnic minorities (Kachin, Rohingya, Rakhine and Chin)"
,,,
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.2 Acquiring Page followers,"About 149,000 accounts followed one or more of these Pages"
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.3 Acquiring Group members,"About 36,000 accounts joined one or more of these Groups"
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.1 Posting negative content about named individuals or institutions,They shared original articles that criticized the ethnic armed organizations and minority groups. 
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.2 Posting positive content about named individuals institutions,They shared original articles that praised the Burmese army 
7. Targeted engagement,7.1 Running ads,7.1.1 Advertising to promote content,"About $60 in spending for ads on Facebook, paid for mostly in US dollars and Thai baht"
