Tactic ,Technique,Procedure,Indicator
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,"1,020 accounts"
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,5 Pages
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,2 Groups
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.2 Acquiring Instagram accounts,711 accounts
,,,
,,,
1. Disguising assets,1.1 Adopting visual disguise,1.1.1 Copying profile pictures ,"Some of these accounts used profile photos of real people stolen from elsewhere on the internet, and regularly updated them with new photos to appear authentic"
,,,
,,,
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.1 Posting negative content about named individuals or institutions,"In Kazakhstan, they criticized Mukhtar Qabyluly Ablyazov, a Kazakh businessman."
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.2 Posting positive content about named individuals institutions,"In Kazakhstan, they shared supportive commentary about President Tokayev"
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.2 Posting positive content about named individuals institutions," In Ukraine, they posted supportive commentary about Viktor Razvadovskyi, a politician in Ukrain"
,,,
7. Targeted engagement,7.3 Engaging with specific audience,7.3.3 Commenting on specific posts," In Kazakhstan, they commented in reply to posts by news media like Radio Azattyq (the Kazakh service of Radio Liberty)"
7. Targeted engagement,7.1 Running ads,7.1.1 Advertising to promote content,"About $30,000 in spending for ads on Facebook, paid for mostly in US dollars"
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.2 Acquiring Page followers,"About 51,000 accounts followed one or more of these Pages"
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.3 Acquiring Group members,"About 1,300 accounts joined one or more of these Groups "
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.4 Acquiring Instagram followers,"About 5,300 accounts followed one or more of these Instagram accounts"
