Tactic ,Technique,Procedure,Indicator
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,42 accounts 
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,1 pages
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.2 Acquiring Instagram accounts,33 accounts 
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,empoweringghana[.]com
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,x[.]com/empoweringghana
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,x[.]com/YamoahFestus
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,youtube[.]com/@EmpoweringGhana
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,tiktok[.]com/@empoweringghana
,,,
1. Disguising assets,1.1 Adopting visual disguise,1.1.2 Using profile pictures like created using generative adversarial networks (GAN),"Using profile photos likely generated using artificial intelligence such
as Generative Adversarial Networks (GAN)"
1. Disguising assets,1.2 Posing as non-existent person,1.2.2 Posing as fictional journalist,"Posing as fictitious journalists and activists across many apps and on
the EG website."
1. Disguising assets,1.3 Posing as non-existent institution,1.3.3 Creating fictitious activist movement,This operation centered around a fictitious youth movement Empowering Ghana (EG) which had its own website and presence on multiple internet platforms
,,,
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.1 Amplifying with likely fake accounts on Facebook,"The operators used fake accounts to comment on posts by this fictitious movement, likely to make it appear to have local support"
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.2 Amplifying with likely fake accounts on Instagram,
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.4 Amplifying with likely fake accounts on X/Twitter,
,,,
7. Targeted engagement,7.1 Running ads,7.1.1 Advertising to promote content,"About $10,200 in spending for ads, paid for mostly in US dollars."
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.2 Acquiring Page followers,"About 38,000 accounts followed one or more of these Pages"
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.4 Acquiring Instagram followers,"About 880,000 accounts followed one or more of these Instagram accounts"
7. Targeted engagement,7.3 Engaging with specific audience,7.3.4  Utilising Language-Specific Campaigns,"The people behind this activity posted about politics in Ghana, primarily in English"
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.2 Posting positive content about named individuals institutions,Posting supportive commentary about the former Vice President Bawumia who lost in the latest Presidential election.
