indicator_type	indicator_value	comment	ds
md5	10c1f38305792a0f925e8a2cf9482ce3	Plugin Phantom	2021-03-24
md5	3c0a20f0726032ad816e670971509b2d	Plugin Phantom	2021-03-24
md5	01fe88068e43c2276f7d8bbf54824f0f	Plugin Phantom	2021-03-24
md5	fd8da30dd9e45bd31af79a9652d50ece	Plugin Phantom	2021-03-24
md5	10748ca7648d26316b4857b6139ca93d	Plugin Phantom	2021-03-24
md5	a5199e6f1904f5a532a562fbb9d5abc6	Plugin Phantom	2021-03-24
md5	670a389a93b82ccf198dd7789a865096	Action Spy	2021-03-24
md5	9bc5fec740bdb4d93f2da9b2db75dc3f	Action Spy	2021-03-24
domain_name	misran.org	Hosting PluginPhantom malware	2021-03-24
domain_name	apkprue.info	Hosting PluginPhantom malware	2021-03-24
domain_name	www.apkpure.bz	Hosting PluginPhantom malware	2021-03-24
domain_name	gotossl.ml	Hosting ActionSpy malware	2021-03-24
domain_name	geo2ipapi.org	Hosting ActionSpy malware	2021-03-24
domain_name	anayurt.net	Hosting ActionSpy malware	2021-03-24
domain_name	preservtyg.com	Watering hole with malicious iframe	2021-03-24
domain_name	uhtpuerdfbnm.com	Watering hole with malicious iframe	2021-03-24
domain_name	uyghurhaber.com	Watering hole with malicious iframe	2021-03-24
domain_name	newyorkingsite.com	Watering hole with malicious iframe	2021-03-24
domain_name	istiqlaihaber.com	Watering hole with malicious iframe	2021-03-24
domain_name	uyghur-news.com	Watering hole with malicious iframe	2021-03-24
domain_name	strunhvgpk.com	Contained malicious javascript resembling previously reported exploit code which installed INSOMNIA	2021-03-24
domain_name	sslportservices.com	Connected to infrastructure hosting malicious javascript	2021-03-24
domain_name	playgoog1e.com	Believed to be used to host Android malware	2021-03-24
domain_name	www.apkhl.pw	Believed to be used to host Android malware	2021-03-24
domain_name	uyghur-soft-market.com	Believed to be used to host Android malware	2021-03-24
domain_name	icptime.com	Believed to be used to host Android malware	2021-03-24
