indicator_type	indicator_value	comment	ds
domain_name	news-fbcb4.firebaseio.com	PSS Android C2 Domain	2021-04-21
domain_name	news-fbcb4.appspot.com	PSS Android C2 Domain	2021-04-21
domain_name	chaty-98547.firebaseio.com	PSS Android C2 Domain	2021-04-21
domain_name	chaty-98547.appspot.com	PSS Android C2 Domain	2021-04-21
domain_name	jamila-c8420.firebaseio.com	PSS Android C2 Domain	2021-04-21
domain_name	jamila-c8420.appspot.com	PSS Android C2 Domain	2021-04-21
domain_name	showra-22501.firebaseio.com	PSS Android C2 Domain	2021-04-21
domain_name	showra-22501.appspot.com	PSS Android C2 Domain	2021-04-21
domain_name	goodwork-25869.firebaseio.com	PSS Android C2 Domain	2021-04-21
domain_name	goodwork-25869.appspot.com	PSS Android C2 Domain	2021-04-21
domain_name	advance-chat-app.firebaseio.com	PSS Android C2 Domain	2021-04-21
domain_name	advance-chat-app.appspot.com	PSS Android C2 Domain	2021-04-21
domain_name	filtersapp-715ee.firebaseio.com	PSS Android C2 Domain	2021-04-21
domain_name	filtersapp-715ee.appspot.com	PSS Android C2 Domain	2021-04-21
domain_name	humanrights-1398b.firebaseio.com	PSS Android C2 Domain	2021-04-21
domain_name	humanrights-1398b.appspot.com	PSS Android C2 Domain	2021-04-21
domain_name	jamilabouhaird-c0935.firebaseio.com	PSS Android C2 Domain	2021-04-21
domain_name	jamilabouhaird-c0935.appspot.com	PSS Android C2 Domain	2021-04-21
domain_name	hotchat-f0c0e.appspot.com	PSS Android C2 Domain	2021-04-21
domain_name	hotnewchat.appspot.com	PSS Android C2 Domain	2021-04-21
sha256	aeb0c38219e714ab881d0065b9fc1915ba84ad5b86916a82814d056f1dfaf66d	PSS Android Malware Hash	2021-04-21
sha256	3c21c0f64ef7b606abb73b9574d0d66895e180e6d1cf2ad21addd5ade79b69fb	PSS Android Malware Hash	2021-04-21
sha256	d2787aff6e827809b836e62b06cca68bec92b3e2144f132a0015ce397cf3cac2	PSS Android Malware Hash	2021-04-21
sha256	2580f7afb4746b223b14aceab76bd8bc2e4366bfa55ebf203de2715176032525	PSS Android Malware Hash	2021-04-21
sha256	f7ea82e4c329bf8e29e9da37fcaf35201dd79c2fc55cc0feb88aedf0b2d26ec2	PSS Android Malware Hash	2021-04-21
sha256	0540051935145fb1e3f9361ec55b62a759ce6796c1f355249805d186046328dc	PSS Android Malware Hash	2021-04-21
sha256	03de278ec4c4855b885520a377f8b1df462a1d8a4b57b492b3b052aafe509793	PSS Android Malware Hash	2021-04-21
sha256	fe77e052dc1a8ebea389bc0d017191e0f41d8e47d034c30df95e3d0dc33cfe10	PSS Android Malware Hash	2021-04-21
