indicator_type	indicator_value	indicator_comment	ds
domain_name	1st-smtp2go.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	2nd-smtp2go.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	3rd-smtp2go.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	4th-smtp2go.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	accounts.cam	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	activesessions.me	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	adobes.software	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	alhds.net	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	apppure.cf	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	bahri.site	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	bbcnews.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	bitly.cam	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	biturl.cx	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	brdcst.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	careeronestop.site	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	cc-security-inc.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	ccsecurity-mail-inc.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	ccsecurity-mail-inc.services	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	citymyworkday.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	cityofberkeley.support	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	cnbcnews.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	cnnnews.global	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	codejquery-ui.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	com-account-challenge.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	com-signin-v2.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	comlogin.online	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	comlogin.services	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	copyleft.today	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	crisiswatchsupport.shop	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	datacatch.xyz	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	dayzim.org	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	dh135.world	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	dollrealdoll.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	dollrealdoll.online	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	entrust.work	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	erictrumpfundation.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	facebookservices.gq	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	fblogin.me	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	fileblade.ga	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	findcareersatusbofa.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	fiservcareers.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	goodreads.rest	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	googl.club	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	gropinggo.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	hex6mak5z98nubb9vpd6t36cydkncfci9im872qx6hjci2egx8irq3qyt9pj.online	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	hike.studio	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	hiremilitaryheroes.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	hosted-microsoft.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	iemail.today	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	incognito.today	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	infoga.cam	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	iqtel.org	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	irtreporter.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	itiee.life	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	itieee.life	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	jessicamcgill.life	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	jqueryui-code.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	jumhuria.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	kartick.net	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	kaspersky.team	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	linkgen.me	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	linksbit.com	Iran: Tortoiseshell related Domain	2021-07-15
