indicator_type	indicator_value	comment	ds
android_package_name	al.puik.cus	CallShowLite	2022-10-03
android_package_name	apex.hoolom.racecar.app	Apex Race Game	2022-10-03
android_package_name	callerscreen.paper.ringshow	CallerPaper Show	2022-10-03
android_package_name	com.abs.provideo_editor	Video Converter Master	2022-10-03
android_package_name	com.acetoon.studio.facephoto	Acetoon Photo Cartoon	2022-10-03
android_package_name	com.addtextcoon.shapermoter	Photo Frame PIP Collage Maker	2022-10-03
android_package_name	com.adonarusso.daily.horoscope	ZodiHoroscope - Fortune Finder	2022-10-03
android_package_name	com.ads_manager_helper	Ads Manager Helper	2022-10-03
android_package_name	com.ads.optimization	Ad Optimization Meta	2022-10-03
android_package_name	com.adsagency.socialmng	Ad Manager For Social	2022-10-03
android_package_name	com.agehohn.fpsgame.app	Agent John FPS Game	2022-10-03
android_package_name	com.allsite.unlo	Unblocked Website	2022-10-03
android_package_name	com.amazcam.apbest	Best Fun Cam	2022-10-03
android_package_name	com.amazing.psychologyfacts	Psychology Facts	2022-10-03
android_package_name	com.androiddharmesh.editor	Cool Photo Editor	2022-10-03
android_package_name	com.androiddharmesh.fashioncam	Cool Filter Editor	2022-10-03
android_package_name	com.anhhuy.ads	Ads & Page	2022-10-03
android_package_name	com.anhhuy.adspagesmanager	Ads Pages Manager	2022-10-03
android_package_name	com.app.good.constellationmaster	Constellation Master	2022-10-03
android_package_name	com.applock.easyuse.lock	AppLock-Lock Apps & Privacy Guard	2022-10-03
android_package_name	com.art.draw.SmoothPictureEditor	Smooth Picture Editor	2022-10-03
android_package_name	com.artext.picshow	Text Camera	2022-10-03
android_package_name	com.artoon.toonphoto	Artoon Photo Cartoon Creator	2022-10-03
android_package_name	com.artpics.campro	Pics Art	2022-10-03
android_package_name	com.ashtoon.tooncool.skordoi	Ashtoon Cartoon Editor	2022-10-03
android_package_name	com.atharva.perfect.photoeffects	Perfect Photo Effects | Loop Photo Animator	2022-10-03
android_package_name	com.ballmaster.puzzle	Bomb Master 3D	2022-10-03
android_package_name	com.beamuisclab.musicdownloader.song.mp3download.app	Free Music Downloader & Free Mp3 Downloader	2022-10-03
android_package_name	com.beauty.selfcamera.perfect	Beauty Camera	2022-10-03
android_package_name	com.beautycamera.plusfuny	Beauty Camera Plus	2022-10-03
android_package_name	com.beautyeditor.bestphotoeditor	Photo Editor	2022-10-03
android_package_name	com.beautymakeup.cameram	Beauty Makeup Camera	2022-10-03
android_package_name	com.bestpuz.gams.artpics	Art Puzzle 2021	2022-10-03
android_package_name	com.biscoco.camfilter	Biscuit Coco Cam	2022-10-03
android_package_name	com.bluee.gorme	Blue-shoot Game	2022-10-03
android_package_name	com.blur.image.handle	Blur Photo	2022-10-03
android_package_name	com.blut.shooting	Bluetouch Shooting Game	2022-10-03
android_package_name	com.bobom.crashran.race	Ranger Crash Game	2022-10-03
android_package_name	com.boo.bam.frvpn	Bamboo VPN	2022-10-03
android_package_name	com.borderedit.cameraapp	Border Sticker Camera	2022-10-03
android_package_name	com.brawsantoon.besteditor	Skintoon - Labs of Cartoon	2022-10-03
android_package_name	com.businessplannerdesign	Business Planner Manage	2022-10-03
android_package_name	com.cam.io.cls	Classic filter camera	2022-10-03
android_package_name	com.camepicin.libevent	PIP Camera 2022	2022-10-03
android_package_name	com.candlesvpn.proxyss	Candles VPN	2022-10-03
android_package_name	com.caniqiwa.perfectpuzzles	Perfect Puzzles	2022-10-03
android_package_name	com.cartoons.photofacemaker	Photo editor PIP collage maker	2022-10-03
android_package_name	com.caryshughes.toonprismaeffect	ToonPrisma - 3D Photo Effect	2022-10-03
android_package_name	com.charlottefabron.hdvideoplayer	HD Video Player with music	2022-10-03
android_package_name	com.classic.beat.cam	BeautyCam	2022-10-03
android_package_name	com.cliffbradley.youtooncartooneffect	YouToon - AI Cartoon Effect	2022-10-03
android_package_name	com.colinread.playphooteditor	Play Phoot Editor & Collage	2022-10-03
android_package_name	com.collageimage.photofilter	Photo Filter	2022-10-03
android_package_name	com.coolcall.callshow	Color Call	2022-10-03
android_package_name	com.coolcall.newspipcamera	Photo PIP Camera	2022-10-03
android_package_name	com.craftstoon.cartoonphoto	Craftsart Cartoon Photo Tools	2022-10-03
android_package_name	com.creatoonbest.faceedit	Creatoon Face Editor	2022-10-03
android_package_name	com.creatorlena.vieds	Photo Video Editor:Lena Editor	2022-10-03
android_package_name	com.crown.camera	Crown Camera	2022-10-03
android_package_name	com.customcamare.ppcamera	Photo Pro 2021	2022-10-03
android_package_name	com.d2p.ads_manager_plus	Ads Manager Plus	2022-10-03
android_package_name	com.dahuadata.photomakerpip	Maker PIP Gallery	2022-10-03
android_package_name	com.dashboardmanagemeta	Pages Dashboard	2022-10-03
android_package_name	com.davykinsman.photoquipo.cartooneffect	Photoquipo Cartoon Pic Effect	2022-10-03
android_package_name	com.day.flywallpaper	Flyingfish Wallpaper	2022-10-03
android_package_name	com.ddhd.cameraadorn	CameraAdorn	2022-10-03
android_package_name	com.ddhd.creatormould	CreatorMould	2022-10-03
android_package_name	com.ddhd.photo.elegantimage	ElegantImage	2022-10-03
android_package_name	com.deepwallpaper.hd.live	Deep Wallpaper-live,HD	2022-10-03
android_package_name	com.dennisarmstrong.videolancervideomaker	Videolancer - Pro Video Maker	2022-10-03
android_package_name	com.dreammaker.phgridpip	PIP Collage Coco	2022-10-03
android_package_name	com.dressing.charm.apps	Dress up Charming	2022-10-03
android_package_name	com.dwyzb23xjiqpsn.zbqyuvfgtion	3 Patti King - India Rummy	2022-10-03
android_package_name	com.dypica.facepicture	Face Picture	2022-10-03
android_package_name	com.dysfree.barcode.scanner	QR Barcode Scan	2022-10-03
android_package_name	com.edgarmay.atecphotoeffect	Atec Sparkle Photo Editor 2022	2022-10-03
android_package_name	com.editor.xinphoto	Enjoy Photo Editor	2022-10-03
android_package_name	com.edmondatrentini.dingdingphotoeffect	Ding Ding Photo Effect Editor	2022-10-03
android_package_name	com.expto.akgarhwal.puzzlex	Art Photo Puzzle	2022-10-03
android_package_name	com.fabiomancini.cartoonpainteffect	Cartoon Face Photo Editor	2022-10-03
android_package_name	com.faceart.savetoon.cartoonedit	Savetoon Art - Face Cartoon	2022-10-03
android_package_name	com.faceartoon.studioon	Facetoon Photo Art	2022-10-03
android_package_name	com.fast.vpn.lifestyleb	Fast VPN Proxy	2022-10-03
android_package_name	com.fb.ads.optimize	Ads Optimize	2022-10-03
android_package_name	com.fb.metas.adsmanager	Ads Manager For Business	2022-10-03
android_package_name	com.fillartoon.toonphotos	Pica Artoon Face Editor	2022-10-03
android_package_name	com.filmstrip.drawanima	Photo Layout Editor	2022-10-03
android_package_name	com.filter.photoeditor	Instapic: Photo Editor Pro, Collage Maker	2022-10-03
android_package_name	com.fimeruv.shapephotoeditor	Shape Photo Editor	2022-10-03
android_package_name	com.fiwyl.sharephotomaker	Share Photo Maker	2022-10-03
android_package_name	com.flnt.uck	Speedy Vpn Tunnel	2022-10-03
android_package_name	com.floydhampton.moldishmansphotoeffect	Moldish - Men's Photo Editor	2022-10-03
android_package_name	com.flyspeed.fish	FlyFish Speed	2022-10-03
android_package_name	com.fonts.text.board	Stylist Fonts for Keyboard	2022-10-03
android_package_name	com.fotspicass.makerpiccoa	PIP Editor Frame Photo	2022-10-03
android_package_name	com.fqrs.qrscapp	Flash QRCode Scanner	2022-10-03
