Tactic 	Technique	Procedure	Indicator	Notes
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	poufnarozmowa[.]eu	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	4 accounts	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	12 pages	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.2 Acquiring Instagram accounts	21 accounts	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	hxxp://x[.]com/jabkowojciech	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	hxxp://x[.]com/baranowski21205	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.6 Acquiring TikTok accounts	hxxp://tiktok[.]com/@wojciechjabko	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.6 Acquiring TikTok accounts	hxxp://tiktok[.]com/@baranowskiad	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.6 Acquiring TikTok accounts	hxxp://tiktok[.]com/@amelia.wilson237	
				
1. Disguising assets	1.5 Impersonating real institution	1.5.2 Impersonating government institution	Fake accounts ran targeted advertisements while falsely representing Poland's governing Civic Coalition.	
				
6. Indiscriminate engagement	6.2 Amplifying with likely fake accounts on social media	6.2.1 Amplifying with likely fake accounts on Facebook	The operation employed sophisticated impersonation tactics, with fake accounts running targeted advertisements while falsely representing Poland's governing Civic Coalition, and promoting content about Coalition policies that were deliberately designed to appear controversial to opposition audiences.	
				
7. Targeted engagement	7.1 Running ads	7.1.1 Advertising to promote content	About $1,800 in spending for ads on Facebook and Instagram, paid for mostly in Polish zlotys and US Dollars.	
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.2 Acquiring Page followers	About 200 accounts followed one or more of these Pages.	
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.4 Acquiring Instagram followers	About 3,300 accounts followed one or more of these Instagram accounts.	
7. Targeted engagement	7.6 Posting about individuals or institutions	7.6.2 Posting positive content about named individuals institutions	The operation promoted content about Coalition policies that were deliberately designed to appear controversial to opposition audiences.	
7. Targeted engagement	7.6 Posting about individuals or institutions	7.6.4 Offering or posting allegedly hacked material about individuals or institutions	Additionally, the network actively amplified materials from a targeted hack-and-leak campaign against a Polish European Parliament member.	
