Tactic	Technique	Procedure	Indicator
0. Acqiuring Assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	6 accounts
0. Acqiuring Assets	0.9 Acquiring social media accounts		1 Page
0. Acqiuring Assets	0.9 Acquiring social media accounts	0.9.2 Acquiring Instagram accounts	3 Instagram accounts
0. Acqiuring Assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	https://twitter[.]com/PeopleSayNews
0. Acqiuring Assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	https://twitter[.]com/militarywave001
0. Acqiuring Assets	0.9 Acquiring social media accounts	0.9.5 Acquiring YouTube channels	https://www.youtube[.]com/@PeopleSayofficial
0. Acqiuring Assets	0.9 Acquiring social media accounts	0.9.5 Acquiring YouTube channels	https://www.youtube[.]com/@MilitaryWaves
0. Acqiuring Assets	0.9 Acquiring social media accounts	0.9.6 Acquiring TikTok accounts	https://www.tiktok[.]com/@peoplesay05
0. Acqiuring Assets	0.9 Acquiring social media accounts	0.9.7 Acquiring Telegram channels	https://t[.]me/ps_peoplesay
0. Acqiuring Assets	0.9 Acquiring social media accounts	0.9.7 Acquiring Telegram channels	https://t[.]me/militarywave
0. Acqiuring Assets	0.9 Acquiring social media accounts	0.9.7 Acquiring Telegram channels	https://t[.]me/PeoplesPress
			
1. Disguising assets	1.1 Adopting visual disguise	1.1.3 Adopting visual brand	The operation created visual brands for its fictitious news outlets
1. Disguising assets	1.3 Posing as non-existent institution	1.3.1 Creating fictitious news outlet 	People Say
1. Disguising assets	1.3 Posing as non-existent institution	1.3.1 Creating fictitious news outlet 	Military Wave
1. Disguising assets	1.8 Backstopping	1.8.2 Backstopping fictitious brand or organization across multiple websites	The operation maintained the same fictitious news outlets on Facebook, Instagram, X, YouTube, TikTok and Telegram
			
6. Indiscriminate engagement	6.3 Spraying content	6.3.1 Posting common or generic hashtags	#ps
6. Indiscriminate engagement	6.3 Spraying content	6.3.1 Posting common or generic hashtags	#peoplesay
6. Indiscriminate engagement	6.3 Spraying content	6.3.1 Posting common or generic hashtags	#knowmore
6. Indiscriminate engagement	6.3 Spraying content	6.3.1 Posting common or generic hashtags	#news
			
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.2 Acquiring Page followers	About 1,000 accounts followed one or more of these Pages
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.4 Acquiring Instagram followers	About 1,000 accounts followed one or more of these Instagram accounts
7. Targeted engagement	7.5 Directing online traffic	7.5.1 Directing audience to other social media	Directing audience towards Telegram channels
			
9. Enabling longevity	9.1 Changing personas	9.1.1 Creating new persona 	On October 13, the “People Say” Telegram channel announced that it was moving to a new brand, “The People’s Press”, in response to takedowns and blockages of its service.
9. Enabling longevity	9.1 Changing personas	9.1.1 Creating new persona 	After we disabled it, the network focused its activity on other platforms, and appears to have given up on using our apps.
