Tactic 	Technique	Procedure	Indicator	Notes
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	thebalochistandiaries[.]com	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	23 Accounts	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	8 Pages	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.2 Acquiring Instagram accounts	14 Accounts	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	https://x[.]com/auroraapricus/	
	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	https://x[.]com/BalochDiaries	
	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	https://x[.]com/shaziia_tweets	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	https://x[.]com/Abbasbugti52	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.5 Acquiring YouTube channels	https://www.youtube[.]com/@Baloch5225	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.5 Acquiring YouTube channels	https://www.youtube[.]com/channel/UCQ8TUByC9EmbhoUDaInIGeA	
				
1. Disguising assets	1.1 Adopting visual disguise	1.1.1 Copying profile pictures 	These accounts utilized stolen profile pictures of people in regional garb with Balochi names.	
1. Disguising assets	1.2 Posing as non-existent person	1.2.2 Posing as fictional journalist	The individuals behind this activity invested significantly in developing "custom personas" tailored to their target audience. These accounts posed as fictitious individuals, journalists, and activists from Balochistan.	
1. Disguising assets	1.2 Posing as non-existent person	1.2.3 Posing as fictional activist	The individuals behind this activity invested significantly in developing "custom personas" tailored to their target audience. These accounts posed as fictitious individuals, journalists, and activists from Balochistan.	
1. Disguising assets	1.8 Backstopping	1.8.2 Backstopping fictitious brand or organization across multiple websites	The operation anchored its narratives around established media brands created by the network, most notably a series of assets under the umbrella of a blog called "The Balochistan Diaries,” which boasted a multi-platform presence.	
				
7. Targeted engagement	7.1 Running ads	7.1.1 Advertising to promote content	The network also spent around $3,000 in spending for ads on Facebook and Instagram, paid for mostly in Pakistani Rupees.	
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.2 Acquiring Page followers	About 64,000 accounts followed one or more of these Pages	
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.4 Acquiring Instagram followers	About 5,000 accounts followed one or more of these Instagram accounts.	
