Tactic 	Technique	Procedure	Indicator	Notes
0. Acquiring assets	0.6 Acquiring domains	0.6.1 Acquiring domains to host, deploy, and support malware campaigns	toolkitapi[.]xyz	PJobRAT
0. Acquiring assets	0.6 Acquiring domains	0.6.1 Acquiring domains to host, deploy, and support malware campaigns	itechcube[.]xyz	PJobRAT
0. Acquiring assets	0.6 Acquiring domains	0.6.1 Acquiring domains to host, deploy, and support malware campaigns	connectsol[.]xyz	PJobRAT and Panther
0. Acquiring assets	0.6 Acquiring domains	0.6.1 Acquiring domains to host, deploy, and support malware campaigns	kuicksy[.]in	Cyrus
0. Acquiring assets	0.6 Acquiring domains	0.6.1 Acquiring domains to host, deploy, and support malware campaigns	fizzled[.]in	Cyrus
0. Acquiring assets	0.6 Acquiring domains	0.6.1 Acquiring domains to host, deploy, and support malware campaigns	liberaltraveller[.]blogspot[.]com	
0. Acquiring assets	0.6 Acquiring domains	0.6.1 Acquiring domains to host, deploy, and support malware campaigns	luxuriantexplorer[.]blogspot[.]com	
0. Acquiring assets	0.6 Acquiring domains	0.6.1 Acquiring domains to host, deploy, and support malware campaigns	1cchat[.]blogspot[.]com	
0. Acquiring assets	0.6 Acquiring domains	0.6.1 Acquiring domains to host, deploy, and support malware campaigns	sanga1l[.]blogspot[.]com	
0. Acquiring assets	0.6 Acquiring domains	0.6.1 Acquiring domains to host, deploy, and support malware campaigns	lifestylepractices[.]blogspot[.]com	
0. Acquiring assets	0.6 Acquiring domains	0.6.1 Acquiring domains to host, deploy, and support malware campaigns	seaviewsunsetbeauty[.]blogspot[.]com	
0. Acquiring assets	0.6 Acquiring domains	0.6.1 Acquiring domains to host, deploy, and support malware campaigns	popularhistorywars[.]blogspot[.]com	
0. Acquiring assets	0.6 Acquiring domains	0.6.1 Acquiring domains to host, deploy, and support malware campaigns	livingstyleimplementation[.]blogspot[.]com	
0. Acquiring assets	0.6 Acquiring domains	0.6.1 Acquiring domains to host, deploy, and support malware campaigns	bharatnamaste[.]joinmyapp[.]xyz	
0. Acquiring assets	0.6 Acquiring domains	0.6.1 Acquiring domains to host, deploy, and support malware campaigns	twinkle[.]joinmyapp[.]xyz	
0. Acquiring assets	0.6 Acquiring domains	0.6.1 Acquiring domains to host, deploy, and support malware campaigns	adultchatroom[.]in	
0. Acquiring assets	0.6 Acquiring domains	0.6.1 Acquiring domains to host, deploy, and support malware campaigns	chit-chat[.]joinmyapp[.]xyz	
0. Acquiring assets	0.7 Acquiring malware	0.7.1 Developing custom malware	 e63f7718c84c3b325c7da61a58dea7f8cb5b4eaa27b78eb7d78b4771400d3bc5	CryptChat (Panther)
0. Acquiring assets	0.7 Acquiring malware	0.7.1 Developing custom malware	7d2b44266643ac92bc967dfdc8212b3709f66927c01f3d5c2dacff4e69fca42e	Gorilla Jung (Panther)
0. Acquiring assets	0.7 Acquiring malware	0.7.1 Developing custom malware	c4b2bb4c34bef590d3af566c04af2f96ea4384c318b33e1f4f0e38c183444eda	Gorilla War (Panther)
0. Acquiring assets	0.7 Acquiring malware	0.7.1 Developing custom malware	6c9fdb8dd485175d0d667c739fab4caf579a6bdc1b6d59dd899a9e64e5a437f9	IndiModels (Panther)
0. Acquiring assets	0.7 Acquiring malware	0.7.1 Developing custom malware	fe40ff990b094b3be329dda8d90372cbb324c03424dfa8aedce715a66dd11960	Jihad Pakistan (Panther)
0. Acquiring assets	0.7 Acquiring malware	0.7.1 Developing custom malware	967b3818434585ed71adc693aa955b64c8855b3bf2c80bfae1a4db86bdc77978	TChat (Panther) 
